Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/20/2016,RT,"COPPER, FREE",1022,1609-21755-001,N,0.062MG/L,LC001,DS001,"WSID 6643, NURSE",,
9/20/2016,RT,"COPPER, FREE",1022,1609-21755-002,N,0.047MG/L,LC001,DS001,"WS  I D6  6  4  3  ,T  E  AC  HE  R' S",,
9/20/2016,RT,"COPPER, FREE",1022,1609-21755-003,N,0.076MG/L,LC001,DS001,"LWOSUIDN G66E4  3  ,R  OOMA  - 1  3",,
9/20/2016,RT,"COPPER, FREE",1022,1609-21755-004,N,0.053MG/L,LC001,DS001,"WS  I D6  6  4  3  ,L  I B  RA  RY",,
9/20/2016,RT,"COPPER, FREE",1022,1609-21755-005,N,0.045MG/L,LC001,DS001,"WS  I D6  6  4  3  ,T  E  AC  HE  RS",,
9/20/2016,RT,LEAD,1030,1609-21755-001,Y,,LC001,DS001,"WWSOIMDE 6N6'4S3 R, NOUORMS  E",,
9/20/2016,RT,LEAD,1030,1609-21755-002,N,0.002MG/L,LC001,DS001,"WS  I D6  6  4  3  ,T  E  AC  HE  R' S",,
9/20/2016,RT,LEAD,1030,1609-21755-003,N,0.005MG/L,LC001,DS001,"WLOSUIDN G66E4  3  ,R  OOMA  - 1  3",,
9/20/2016,RT,LEAD,1030,1609-21755-004,N,0.003MG/L,LC001,DS001,"WS  I D6  6  4  3  ,L  I B  RA  RY",,
9/20/2016,RT,LEAD,1030,1609-21755-005,N,0.002MG/L,LC001,DS001,"WS  I D6  6  4  3  ,T  E  AC  HE  RS",,
9/9/2013,RT,"COPPER, FREE",1022,1309-17773-001,N,0.17MG/L,LC001,DS001,"WWSOIMDE 6N6'4S3 R, NOUORMS  E  SRO",O,M
9/9/2013,RT,"COPPER, FREE",1022,1309-17773-002,N,0.15MG/L,LC001,DS001,"WS  I D6  6  4  3  ,T  E  AC  HE  RS",,
9/9/2013,RT,"COPPER, FREE",1022,1309-17773-003,N,0.16MG/L,LC001,DS001,"WWOSIMDE 6N6S43 R, ETSETA CRHOEORMS",,
9/9/2013,RT,"COPPER, FREE",1022,1309-17773-004,N,0.15MG/L,LC001,DS001,"WLOSUIDN G66E4  3  ,R  OOMA  - 1  3",,
9/9/2013,RT,"COPPER, FREE",1022,1309-17773-005,N,0.12MG/L,LC001,DS001,"WS  I D6  6  4  3  ,L  I B  RA  RY",,
9/9/2013,RT,LEAD,1030,1309-17773-001,N,0.005MG/L,LC001,DS001,"WS  I D6  6  4  3  ,N  URS  E  SR  O",O,M
9/9/2013,RT,LEAD,1030,1309-17773-002,N,0.006MG/L,LC001,DS001,"WS  I D6  6  4  3  ,T  E  AC  HE  RS",,
9/9/2013,RT,LEAD,1030,1309-17773-003,N,0.008MG/L,LC001,DS001,"WWSOIMDE 6N6S43 R, ETSETA CRHOEORMS",,
9/9/2013,RT,LEAD,1030,1309-17773-004,N,0.004MG/L,LC001,DS001,"WLOSUIDN G66E4  3  ,R  OOMA  - 1  3",,
9/9/2013,RT,LEAD,1030,1309-17773-005,N,0.002MG/L,LC001,DS001,"WS  I D6  6  4  3  ,L  I B  RA  RY",,
9/10/2010,RT,"COPPER, FREE",1022,IN33113,Y,,LC001,DS001,R  OOMA  - 1  3,,
9/10/2010,RT,"COPPER, FREE",1022,IN33122,Y,,LC001,DS001,L I  B  R  AR  Y,,
9/10/2010,RT,"COPPER, FREE",1022,IN33130,Y,,LC001,DS001,T  E  A  CHE  RSL  OU  NGE,,
9/10/2010,RT,"COPPER, FREE",1022,IN33155,Y,,LC001,DS001,N  UR  SE  SROOM,,
9/10/2010,RT,"COPPER, FREE",1022,IN33159,Y,,LC001,DS001,T  E  A  CHE  RSRO  OM,,
9/10/2010,RT,LEAD,1030,IN33113,Y,,LC001,DS001,BRAOTOHMR OA-O1M3,,
9/10/2010,RT,LEAD,1030,IN33122,Y,,LC001,DS001,L  I BR  AR  Y,,
9/10/2010,RT,LEAD,1030,IN33130,Y,,LC001,DS001,T  E  A  CHE  RSL  OU  NGE,,
9/10/2010,RT,LEAD,1030,IN33155,Y,,LC001,DS001,NUR  SE  SROOM,,
9/10/2010,RT,LEAD,1030,IN33159,Y,,LC001,DS001,T  E  A  CHE  RSRO  OM,,
9/25/2007,RT,"COPPER, FREE",1022,IN22984,Y,,LC001,DS001,BTEAATHCHREOROSM L  OUN  GE,,
9/25/2007,RT,"COPPER, FREE",1022,IN22993,Y,,LC001,DS001,L I BR  AR  Y,,
9/25/2007,RT,"COPPER, FREE",1022,IN22995,Y,,LC001,DS001,TE  A  CHE  RSWOMEN  S,,
9/25/2007,RT,"COPPER, FREE",1022,IN23001,Y,,LC001,DS001,NBAUTRHSREO'SO RMO  OM,,
