Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
8/2/2017,SP,"COPPER, FREE",1022,1708-17751-001,N,0.38MG/L,LC001,DS001,PRE-K CLASSROOM,
8/2/2017,SP,LEAD,1030,1708-17751-001,Y,,LC001,DS001,PR  E- KCL  A  SS  ROO  M,
7/6/2016,RT,"COPPER, FREE",1022,1607-14269-001,N,0.048MG/L,LC001,DS001,3 RD- 4  T  HG  RA  DECL  A  SS,
7/6/2016,RT,"COPPER, FREE",1022,1607-14269-002,N,0.075MG/L,LC001,DS001,SPRININK C  I PA  L  SOF  FI C  ES  I N,K
7/6/2016,RT,"COPPER, FREE",1022,1607-14269-003,N,0.038MG/L,LC001,DS001,NUR  SE  ' SOF  F  I CESI N  K,
7/6/2016,RT,"COPPER, FREE",1022,1607-14269-004,N,0.048MG/L,LC001,DS001,K  I T  CH  ENSI N  K,
7/6/2016,RT,"COPPER, FREE",1022,1607-14269-005,N,0.20MG/L,LC001,DS001,5 TH  - 6  THGRA  DECL  A  S  S,
7/6/2016,RT,LEAD,1030,1607-14269-001,Y,,LC001,DS001,S3RINDK-4  THGRA  DECL  A  S  S,
7/6/2016,RT,LEAD,1030,1607-14269-002,Y,,LC001,DS001,SPIRNINK C  I PA  L  SOF  FI C  ES  I N,K
7/6/2016,RT,LEAD,1030,1607-14269-003,Y,,LC001,DS001,NUR  SE  ' SOF  F  I CESI N  K,
7/6/2016,RT,LEAD,1030,1607-14269-004,Y,,LC001,DS001,KI T  CH  ENSI N  K,
7/6/2016,RT,LEAD,1030,1607-14269-005,Y,,LC001,DS001,5 TH  - 6  THGRA  DECL  A  S  S,
7/3/2013,RT,"COPPER, FREE",1022,1307-12232-001,N,0.099MG/L,LC001,DS001,SPRININK C  I PA  L  SOF  FI C  ES  I N,K
7/3/2013,RT,"COPPER, FREE",1022,1307-12232-002,N,0.063MG/L,LC001,DS001,K  I T  CH  ENSI N  K,
7/3/2013,RT,"COPPER, FREE",1022,1307-12232-003,N,0.067MG/L,LC001,DS001,5 TH&6  T  HGRA  DE,
7/3/2013,RT,"COPPER, FREE",1022,1307-12232-004,N,0.071MG/L,LC001,DS001,CNULARSSSER'SO OOFMF I CESI N  K,
7/3/2013,RT,"COPPER, FREE",1022,1307-12232-005,N,0.13MG/L,LC001,DS001,3R  D- 4  T  HG  RA  DE,
7/3/2013,RT,LEAD,1030,1307-12232-001,Y,,LC001,DS001,PCRLAINSCSIRPOALOSM O SFIFNIKC ES  I N,K
7/3/2013,RT,LEAD,1030,1307-12232-002,N,0.001MG/L,LC001,DS001,KI T  CH  ENSI N  K,
7/3/2013,RT,LEAD,1030,1307-12232-003,N,0.002MG/L,LC001,DS001,5  TH&6  T  HGRA  DE,
7/3/2013,RT,LEAD,1030,1307-12232-004,N,0.001MG/L,LC001,DS001,NCULARSSSER'SO OOFMF I CESI N  K,
7/3/2013,RT,LEAD,1030,1307-12232-005,N,0.002MG/L,LC001,DS001,3  R  D- 4  T  HG  RA  DE,
9/20/2010,RT,"COPPER, FREE",1022,1009-13130001,Y,,LC001,DS001,C3-L4ATSHS GRROAODME  SCILNAKS  SR  O,OM
9/20/2010,RT,"COPPER, FREE",1022,1009-13130002,N,0.18MG/L,LC001,DS001,PR  I NCI P  A  L  ' SO  FF  I C  E,
9/20/2010,RT,"COPPER, FREE",1022,1009-13130003,N,0.24MG/L,LC001,DS001,N  UR  SE  ' SOF  F  I CE,
9/20/2010,RT,"COPPER, FREE",1022,1009-13130004,Y,,LC001,DS001,KI T  CH  EN,
9/20/2010,RT,"COPPER, FREE",1022,1009-13130005,Y,,LC001,DS001,5  - 6  T  HGRA  DECL  A  SS  RO  O,M
9/20/2010,RT,LEAD,1030,1009-13130001,N,0.001MG/L,LC001,DS001,3  - 4  T  HGRA  DECL  A  SS  RO  O,M
9/20/2010,RT,LEAD,1030,1009-13130002,N,0.006MG/L,LC001,DS001,P  R  I NCI P  A  L  ' SO  FF  I C  E,
9/20/2010,RT,LEAD,1030,1009-13130003,N,0.005MG/L,LC001,DS001,NUR  SE  ' SOF  F  I CE,
9/20/2010,RT,LEAD,1030,1009-13130004,Y,,LC001,DS001,KI T  CH  EN,
9/20/2010,RT,LEAD,1030,1009-13130005,N,0.001MG/L,LC001,DS001,5 -  6  T  HGRA  DECL  A  SS  RO  O,M
8/25/2008,RT,"COPPER, FREE",1022,09C0605,Y,,EP001,TP001,KI T  CH  EN,
8/25/2008,RT,LEAD,1030,09C0605,Y,,EP001,TP001,K  I T  CH  EN,
