Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/27/2016,RT,"COPPER, FREE",1022,16-IB-00953-001,N,0.16MG/L,LC001,DS001,KITCHEN SINK ^ 37,,
9/27/2016,RT,"COPPER, FREE",1022,16-IB-00954-001,N,0.16MG/L,LC001,DS001,KHIETICGHHETNS  SRIDN K^1  3,,
9/27/2016,RT,"COPPER, FREE",1022,16-IB-00955-001,N,0.16MG/L,LC001,DS001,KHIETICGHHETNS  SRIDN K^4  5SA  ND,,
9/27/2016,RT,"COPPER, FREE",1022,16-IB-00956-001,N,0.10MG/L,LC001,DS001,KHIITLLC HREDNSI N  K^3  4,,
9/27/2016,RT,"COPPER, FREE",1022,16-IB-00957-001,N,0.13MG/L,LC001,DS001,KHIETICGHHETNS  SRIDN K^8  1SA  ND,,
9/27/2016,RT,LEAD,1030,16-IB-00953-001,N,0.002MG/L,LC001,DS001,KHIITLCL HREDNSI N  K^3  7,,
9/27/2016,RT,LEAD,1030,16-IB-00954-001,N,0.002MG/L,LC001,DS001,KHIETICGHHETNS  SRIDN K^1  3,,
9/27/2016,RT,LEAD,1030,16-IB-00955-001,N,0.002MG/L,LC001,DS001,HKIETICGHHETNS  SRIDN K^4  5SA  ND,,
9/27/2016,RT,LEAD,1030,16-IB-00956-001,Y,,LC001,DS001,KHIITLLC HREDNSI N  K^3  4,,
9/27/2016,RT,LEAD,1030,16-IB-00957-001,Y,,LC001,DS001,KHIETICGHHETNS  SRIDN K^8  1SA  ND,,
12/16/2014,RT,"COPPER, FREE",1022,14-IC-04120-001,N,0.04MG/L,EP001,TP001,PHUILML PR DH O  US  E^8  2S  A  ND,,
12/16/2014,RT,LEAD,1030,14-IC-04120-001,Y,,EP001,TP001,HPUILML PR DH O  US  E^8  2S  A  ND,,
9/30/2013,RT,"COPPER, FREE",1022,13-IB-00528-001,N,0.08MG/L,LC001,DS001,KHIITLLC HREDNFA  UC  ET^3  4,,
9/30/2013,RT,"COPPER, FREE",1022,13-IB-00529-001,N,0.06MG/L,LC001,DS001,HKIETICGHHETNS  FRADU  CE  T^3  7,,
9/30/2013,RT,"COPPER, FREE",1022,13-IB-00530-001,N,0.06MG/L,LC001,DS001,KHIETICGHHETNS  FRADU  CE  T  / SI N  K^,,8  1
9/30/2013,RT,"COPPER, FREE",1022,13-IB-00531-001,N,0.05MG/L,LC001,DS001,SKIATNCDH EHNIL LF ARUDC  ET^4  5,,
9/30/2013,RT,"COPPER, FREE",1022,13-IB-00532-001,N,0.06MG/L,LC001,DS001,SKIATNCDH EHNIL LF ARUDC  ET^1  3,,
9/30/2013,RT,LEAD,1030,13-IB-00528-001,Y,,LC001,DS001,KHIETICGHHETNS  FRADU  CE  T^3  4,,
9/30/2013,RT,LEAD,1030,13-IB-00529-001,Y,,LC001,DS001,KHIETICGHHETNS  FRADU  CE  T^3  7,,
9/30/2013,RT,LEAD,1030,13-IB-00530-001,Y,,LC001,DS001,HKIETICGHHETNS  FRADU  CE  T  / SI N  K^,,8  1
9/30/2013,RT,LEAD,1030,13-IB-00531-001,Y,,LC001,DS001,SKAITNCDH EHNIL LF ARUDC  ET^4  5,,
9/30/2013,RT,LEAD,1030,13-IB-00532-001,N,0.001MG/L,LC001,DS001,KSAITNCDH EHNIL LF ARUDC  ET^1  3,,
9/20/2010,RT,"COPPER, FREE",1022,11I0365,N,0.04MG/L,LC001,DS001,H13E IHGEHIGTSH TRSD RD,,
9/20/2010,RT,"COPPER, FREE",1022,11I0366,N,0.04MG/L,LC001,DS001,8  1SA  NDHI L  LRD,,
9/20/2010,RT,"COPPER, FREE",1022,11I0367,N,0.05MG/L,LC001,DS001,EA  ST  MA  N/ 5  9S  AN  DH  I L  LR,,D
9/20/2010,RT,"COPPER, FREE",1022,11I0368,N,0.06MG/L,LC001,DS001,37FA  I RF  A  XH  EI G  HT  SR  D,,
9/20/2010,RT,"COPPER, FREE",1022,11I0369,N,0.07MG/L,LC001,DS001,34HE  I GHT  SRD,,
9/20/2010,RT,LEAD,1030,11I0365,Y,,LC001,DS001,1 3HE  I GHT  SRD,,
9/20/2010,RT,LEAD,1030,11I0366,Y,,LC001,DS001,8 1SA  NDHI L  LRD,,
9/20/2010,RT,LEAD,1030,11I0367,Y,,LC001,DS001,E  A  ST  MA  N/ 5  9S  AN  DH  I L  LR,,D
9/20/2010,RT,LEAD,1030,11I0368,Y,,LC001,DS001,3  7F  A  I RF  A  XH  EI G  HT  SR  D,,
9/20/2010,RT,LEAD,1030,11I0369,Y,,LC001,DS001,34H  E  I GHT  SRD,,
9/24/2007,RT,"COPPER, FREE",1022,08I0544,N,0.09MG/L,LC001,DS001,3  4H  E  I GHT  SRD,,
9/24/2007,RT,"COPPER, FREE",1022,08I0545,N,0.08MG/L,LC001,DS001,81S  A  NDHI L  LRD,,
