Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
9/29/2016,RT,"COPPER, FREE",1022,1609-22423-001,N,0.77MG/L,LC001,DS001,1199 VT RT 12,
9/29/2016,RT,"COPPER, FREE",1022,1609-22423-002,N,0.19MG/L,LC001,DS001,1  1 7  5V  TRT1  2,
9/29/2016,RT,"COPPER, FREE",1022,1609-22423-003,N,0.34MG/L,LC001,DS001,2 3WA  RT  P  HA  LRD,
9/29/2016,RT,"COPPER, FREE",1022,1609-22423-004,N,0.088MG/L,LC001,DS001,1  0  7 6V  TRT1  2,
9/29/2016,RT,"COPPER, FREE",1022,1609-22423-005,N,0.75MG/L,LC001,DS001,12  0  8VTRT1  2,
9/29/2016,RT,LEAD,1030,1609-22423-001,Y,,LC001,DS001,11  9 9V  TRT1  2,
9/29/2016,RT,LEAD,1030,1609-22423-002,N,0.0021MG/L,LC001,DS001,1 17 5VTRT1  2,
9/29/2016,RT,LEAD,1030,1609-22423-003,Y,,LC001,DS001,2 3WA  RT  P  HA  LRD,
9/29/2016,RT,LEAD,1030,1609-22423-004,Y,,LC001,DS001,10 7  6VTRT1  2,
9/29/2016,RT,LEAD,1030,1609-22423-005,Y,,LC001,DS001,1 20 8V  TRT1  2,
8/12/2014,RT,"COPPER, FREE",1022,14-IB-00445-001,N,0.12MG/L,LC001,DS001,BA  T  HRO  OMSI N  K^2  3,
8/12/2014,RT,"COPPER, FREE",1022,14-IB-00446-001,N,0.10MG/L,LC001,DS001,KWIETCSTHPEHNA SLI N  K^1  2  0  8R  T,1  2
8/12/2014,RT,"COPPER, FREE",1022,14-IB-00447-001,N,0.22MG/L,LC001,DS001,B  A  T  HRO  OMSI N  K^1  1  7  5,RT
8/12/2014,RT,"COPPER, FREE",1022,14-IB-00448-001,N,0.66MG/L,LC001,DS001,K12IT  CH  ENSI N  K^1  1  9  9RT,1  2
8/12/2014,RT,"COPPER, FREE",1022,14-IB-00449-001,N,0.23MG/L,LC001,DS001,KI T  CH  ENSI N  K^1  0  8  1RT,1  2
8/12/2014,RT,LEAD,1030,14-IB-00445-001,Y,,LC001,DS001,BA  T  HRO  OMSI N  K^2  3,
8/12/2014,RT,LEAD,1030,14-IB-00446-001,N,0.002MG/L,LC001,DS001,WKIETCSTHPEHNA SLI N  K^1  2  0  8R  T,1  2
8/12/2014,RT,LEAD,1030,14-IB-00447-001,N,0.001MG/L,LC001,DS001,B  A  T  HRO  OMSI N  K^1  1  7  5,RT
8/12/2014,RT,LEAD,1030,14-IB-00448-001,N,0.001MG/L,LC001,DS001,K12IT  CH  ENSI N  K^1  1  9  9RT,1  2
8/12/2014,RT,LEAD,1030,14-IB-00449-001,N,0.005MG/L,LC001,DS001,K  I T  CH  ENSI N  K^1  0  8  1RT,1  2
3/31/2014,RT,"COPPER, FREE",1022,14-IC-00958-001,Y,,EP001,WL001,B  A  T  HS  I NK  / TO  WN,
3/31/2014,RT,LEAD,1030,14-IC-00958-001,Y,,EP001,WL001,BCALETHR KS/IBNAKS/TEO ^W 11N7 5 VT RTE,
12/29/2013,RT,"COPPER, FREE",1022,13-IC-04299-001,N,0.03MG/L,EP001,WL001,ECLLMEROKR/EB ASSTEO R^ E11/K7I5T CVTH ERNT E,
12/29/2013,RT,LEAD,1030,13-IC-04299-001,Y,,EP001,WL001,SEILNMKO  REST  OR  E/ K  I T  CH  E,N
9/15/2013,RT,"COPPER, FREE",1022,13-IB-00753-001,N,0.13MG/L,LC001,DS001,SKIITNCKHE  NS  I NK^2  3,
9/15/2013,RT,"COPPER, FREE",1022,13-IB-00754-001A,N,0.23MG/L,LC001,DS001,W10E7S6 TRPOHUATLE R 1D2,
9/15/2013,RT,"COPPER, FREE",1022,13-IB-00755-001,N,0.09MG/L,LC001,DS001,K  I T  CH  ENSI N  K/ S  T  ORE^,
9/15/2013,RT,"COPPER, FREE",1022,13-IB-00756-001,N,0.06MG/L,LC001,DS001,B12A0T8H V STI NRKT/ T1O2 WNCL  E  RK  S,
9/15/2013,RT,"COPPER, FREE",1022,13-IB-00757-001,N,0.05MG/L,LC001,DS001,COLFAFSICSER ^O 1O1M75 S VINTK R/STC 1H2O,OL
9/15/2013,RT,LEAD,1030,13-IB-00753-001,Y,,LC001,DS001,K^ I1T1C9H9 EVNT  SRITN K12 ^2  3,
9/15/2013,RT,LEAD,1030,13-IB-00754-001,N,0.002MG/L,LC001,DS001,W10E7S6 TRPOHUATLE R 1D2,
9/15/2013,RT,LEAD,1030,13-IB-00755-001,N,0.001MG/L,LC001,DS001,K  I T  CH  ENSI N  K/ S  T  ORE^,
9/15/2013,RT,LEAD,1030,13-IB-00756-001,Y,,LC001,DS001,B12A0T8H V STI NRKT/ T1O2 WNCL  E  RK  S,
9/15/2013,RT,LEAD,1030,13-IB-00757-001,Y,,LC001,DS001,OCLFAFSICSER ^O 1O1M75 S VINTK R/STC 1H2O,OL
