Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
2/21/2017,RT,"COPPER, FREE",1022,201701060225_CV,Y,,RW001,WL001,
"",,,,,,,,,
2/21/2017,RT,LEAD,1030,201701060225_CV,Y,,RW001,WL001,
"",,,,,,,,,
7/20/2016,RT,"COPPER, FREE",1022,16-IB-00660-001,N,0.12MG/L,LC001,DS001,KITCHEN SINK
7/20/2016,RT,"COPPER, FREE",1022,16-IB-00661-001A,N,0.57MG/L,LC001,DS001,BA  T  HRO  OMSI N  K
7/20/2016,RT,"COPPER, FREE",1022,16-IB-00662-001A,N,0.21MG/L,LC001,DS001,K  I T  CH  ENSI N  K
7/20/2016,RT,"COPPER, FREE",1022,16-IB-00663-001A,N,0.36MG/L,LC001,DS001,K  I T  CH  ENSI N  K
7/20/2016,RT,"COPPER, FREE",1022,16-IB-00664-001A,N,0.37MG/L,LC001,DS001,KI T  CH  ENSI N  K
7/20/2016,RT,LEAD,1030,16-IB-00660-001,N,0.004MG/L,LC001,DS001,K  I T  CH  ENSI N  K
7/20/2016,RT,LEAD,1030,16-IB-00661-001,N,0.001MG/L,LC001,DS001,B  A  T  HRO  OMSI N  K
7/20/2016,RT,LEAD,1030,16-IB-00662-001,N,0.001MG/L,LC001,DS001,KI T  CH  ENSI N  K
7/20/2016,RT,LEAD,1030,16-IB-00663-001,Y,,LC001,DS001,K  I T  CH  ENSI N  K
7/20/2016,RT,LEAD,1030,16-IB-00664-001,N,0.003MG/L,LC001,DS001,KI T  CH  ENSI N  K
3/19/2014,RT,"COPPER, FREE",1022,047-402,Y,,EP001,TP001,
3/19/2014,RT,LEAD,1030,047-402,Y,,EP001,TP001,
7/17/2013,RT,"COPPER, FREE",1022,13-IB-00523-001,N,0.04MG/L,LC001,DS001,K  I T  CH  ENSI N  K/ L  O  T
7/17/2013,RT,"COPPER, FREE",1022,13-IB-00524-001,N,0.25MG/L,LC001,DS001,"#K1IT2C/SHTEONC SKIBNRKI/DLGOET  STORE"
7/17/2013,RT,"COPPER, FREE",1022,13-IB-00525-001,N,0.07MG/L,LC001,DS001,"#B6A/TBHURRONOS MS  I NK  / S  UBFO  R"
7/17/2013,RT,"COPPER, FREE",1022,13-IB-00526-001,N,0.13MG/L,LC001,DS001,TOAUBTODRO OHRO UFSAEU/CLEOTT/ S#T89. /BRA
7/17/2013,RT,"COPPER, FREE",1022,13-IB-00527-001,N,0.09MG/L,LC001,DS001,LKAITWCRHEENNC E/LOT #16
7/17/2013,RT,LEAD,1030,13-IB-00523-001,N,0.011MG/L,LC001,DS001,KSIINTCKH/CEANS SLIIONTKT/LAO/LTO T #1
7/17/2013,RT,LEAD,1030,13-IB-00524-001,N,0.003MG/L,LC001,DS001,"#K1IT2C/SHTEONC SKIBNRKI/DLGOET  STORE"
7/17/2013,RT,LEAD,1030,13-IB-00525-001,Y,,LC001,DS001,B#6A/TBHURRONOS MS  I NK  / S  UBFO  R
7/17/2013,RT,LEAD,1030,13-IB-00526-001,N,0.002MG/L,LC001,DS001,OTAUBTODRO OHRO UFSAEU/CLEOTT/ S#T89. /BRA
7/17/2013,RT,LEAD,1030,13-IB-00527-001,N,0.003MG/L,LC001,DS001,LKAITWCRHEENNC E/LOT #16
2/22/2011,RT,LEAD,1030,201102230171_IOC,Y,,EP001,TP001,PSRINIKS/TCINAES LMIOOTUTNAT/LAOINT  #1
7/27/2010,RT,"COPPER, FREE",1022,11I0069,N,0.21MG/L,LC001,DS001,SLOPRT I#N1G2S B  R  AD  L  EY
7/27/2010,RT,"COPPER, FREE",1022,11I0070,N,0.07MG/L,LC001,DS001,STL  A  WR  EN  CEL  OT#  1  6
7/27/2010,RT,"COPPER, FREE",1022,11I0071,N,0.16MG/L,LC001,DS001,L  O  T#  6BU  RNS
7/27/2010,RT,"COPPER, FREE",1022,11I0073,N,0.33MG/L,LC001,DS001,L  OT#ST  OC  KB  RI D  GE
7/27/2010,RT,LEAD,1030,11I0069,Y,,LC001,DS001,SLOTOT R#E12BR  A  DL  E  Y
7/27/2010,RT,LEAD,1030,11I0070,Y,,LC001,DS001,STL  A  WR  EN  CEL  OT#  1  6
7/27/2010,RT,LEAD,1030,11I0071,N,0.002MG/L,LC001,DS001,L OT#  6BU  RNS
7/27/2010,RT,LEAD,1030,11I0073,N,0.003MG/L,LC001,DS001,L  O  T#ST  OC  KB  RI D  GE
