Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
9/28/2017,RT,"COPPER, FREE",1022,1709-23346-001,N,0.069MG/L,LC001,DS001,"WSID 21051, 26"
9/28/2017,RT,"COPPER, FREE",1022,1709-23346-002,N,0.033MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,9  5"
9/28/2017,RT,"COPPER, FREE",1022,1709-23346-003,N,0.10MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,3  3  9  A"
9/28/2017,RT,"COPPER, FREE",1022,1709-23346-004,N,0.11MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,3  1  9"
9/28/2017,RT,"COPPER, FREE",1022,1709-23346-005,N,0.062MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,6  5"
9/28/2017,RT,LEAD,1030,1709-23346-001,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,2  6"
9/28/2017,RT,LEAD,1030,1709-23346-002,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,9  5"
9/28/2017,RT,LEAD,1030,1709-23346-003,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,3  3  9  A"
9/28/2017,RT,LEAD,1030,1709-23346-004,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,3  1  9"
9/28/2017,RT,LEAD,1030,1709-23346-005,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,6  5"
9/24/2014,RT,"COPPER, FREE",1022,1409-20057-001,N,0.12MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T9  5"
9/24/2014,RT,"COPPER, FREE",1022,1409-20057-002,N,0.22MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T6  5"
9/24/2014,RT,"COPPER, FREE",1022,1409-20057-003,N,0.13MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T2  6"
9/24/2014,RT,"COPPER, FREE",1022,1409-20057-004,N,0.10MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T3  3  9"
9/24/2014,RT,"COPPER, FREE",1022,1409-20057-005,N,0.16MG/L,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T3  1  9"
9/24/2014,RT,LEAD,1030,1409-20057-001,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T9  5"
9/24/2014,RT,LEAD,1030,1409-20057-002,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T6  5"
9/24/2014,RT,LEAD,1030,1409-20057-003,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T2  6"
9/24/2014,RT,LEAD,1030,1409-20057-004,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T3  3  9"
9/24/2014,RT,LEAD,1030,1409-20057-005,Y,,LC001,DS001,"WS  I D2  1  0  5  1  ,U  NI T3  1  9"
9/14/2011,RT,"COPPER, FREE",1022,IN35700,N,0.30MG/L,LC001,DS001,UNI T#6  5
9/14/2011,RT,"COPPER, FREE",1022,IN35703,N,0.23MG/L,LC001,DS001,U  NI T#2  6A
9/14/2011,RT,"COPPER, FREE",1022,IN35707,N,0.35MG/L,LC001,DS001,U  NI T#9  5A
9/14/2011,RT,"COPPER, FREE",1022,IN35723,N,0.20MG/L,LC001,DS001,UNI T#3  1  9
9/14/2011,RT,"COPPER, FREE",1022,IN35737,N,0.24MG/L,LC001,DS001,U  NI T#3  3  9
9/14/2011,RT,LEAD,1030,IN35700,Y,,LC001,DS001,U  NI T#6  5
9/14/2011,RT,LEAD,1030,IN35703,Y,,LC001,DS001,U  NI T#2  6A
9/14/2011,RT,LEAD,1030,IN35707,Y,,LC001,DS001,UNI T#9  5A
9/14/2011,RT,LEAD,1030,IN35723,Y,,LC001,DS001,UNI T#3  1  9
9/14/2011,RT,LEAD,1030,IN35737,Y,,LC001,DS001,U  NI T#3  3  9
7/30/2010,RT,"COPPER, FREE",1022,IN33469,Y,,LC001,DS001,3 3  9AH  OSEB  I B
7/30/2010,RT,"COPPER, FREE",1022,IN33472,Y,,LC001,DS001,26BH  OSEB  I B
7/30/2010,RT,"COPPER, FREE",1022,IN33475,Y,,LC001,DS001,2  8  5HOS  EB  I B
7/30/2010,RT,"COPPER, FREE",1022,IN33479,Y,,LC001,DS001,81DHO  SEBI B
