Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
1/16/2013,RT,"COPPER, FREE",1022,13-IB-00011-001,N,0.04MG/L,LC001,DS001,BREAK ROOM,
1/16/2013,RT,"COPPER, FREE",1022,13-IB-00012-001,N,0.02MG/L,LC001,DS001,B  R  EA  KR  OOM#  2,
1/16/2013,RT,"COPPER, FREE",1022,13-IB-00013-001,N,0.03MG/L,LC001,DS001,WOME  N'SR  OOM,
1/16/2013,RT,"COPPER, FREE",1022,13-IB-00014-001,N,0.03MG/L,LC001,DS001,WOME  N'SR  OOM#  2,
1/16/2013,RT,"COPPER, FREE",1022,13-IB-00015-001,N,0.02MG/L,LC001,DS001,MEN  ' SR  OOM,
1/16/2013,RT,LEAD,1030,13-IB-00011-001,Y,,LC001,DS001,BR  EA  KR  OOM,
1/16/2013,RT,LEAD,1030,13-IB-00012-001,Y,,LC001,DS001,BR  EA  KR  OOM#  2,
1/16/2013,RT,LEAD,1030,13-IB-00013-001,Y,,LC001,DS001,WOME  N'SR  OOM,
1/16/2013,RT,LEAD,1030,13-IB-00014-001,Y,,LC001,DS001,WOME  N'SR  OOM#  2,
1/16/2013,RT,LEAD,1030,13-IB-00015-001,Y,,LC001,DS001,M  EN  ' SR  OOM,
11/13/2012,RT,"COPPER, FREE",1022,12-IB-01011-001,N,0.07MG/L,LC001,DS001,MAI N  TB  L  DGBR  EA  KR  OOM,
11/13/2012,RT,"COPPER, FREE",1022,12-IB-01012-001,N,0.06MG/L,LC001,DS001,MSIANIKN TBL  D  GME  N' SROO  M,
11/13/2012,RT,"COPPER, FREE",1022,12-IB-01013-001,N,0.06MG/L,LC001,DS001,SMIANIKN TBL  D  GWOMEN  ' S,
11/13/2012,RT,"COPPER, FREE",1022,12-IB-01014-001,N,0.09MG/L,LC001,DS001,RMOAOINMT  SBILNDKGB  AT  H  ROOM,
11/13/2012,RT,"COPPER, FREE",1022,12-IB-01015-001,N,0.07MG/L,LC001,DS001,MSIANIKN TP RBOLDPG M KGIMTCTHE  NS  I N,K
11/13/2012,RT,LEAD,1030,12-IB-01011-001,Y,,LC001,DS001,MPRAOINPT  MBGLDMGT  BR  EA  K  ROOM,
11/13/2012,RT,LEAD,1030,12-IB-01012-001,Y,,LC001,DS001,MSIANIKN TBL  D  GME  N' SROO  M,
11/13/2012,RT,LEAD,1030,12-IB-01013-001,Y,,LC001,DS001,SMIANIKN TBL  D  GWOMEN  ' S,
11/13/2012,RT,LEAD,1030,12-IB-01014-001,N,0.001MG/L,LC001,DS001,RMOAOINMT  BSLINDKGB  AT  H  ROOM,
11/13/2012,RT,LEAD,1030,12-IB-01015-001,Y,,LC001,DS001,SMIANIKN TP RBOLDPG M KGITMCTHE  NS  I N,K
4/10/2012,RT,"COPPER, FREE",1022,1204-04839-001,N,0.073MG/L,LC001,DS001,PMREONPS  MROGOMMT1,
4/10/2012,RT,"COPPER, FREE",1022,1204-04839-002,N,0.044MG/L,LC001,DS001,M  EN  SR  OOM2,
4/10/2012,RT,"COPPER, FREE",1022,1204-04839-003,Y,,LC001,DS001,B  R  EA  KR  OOM1,
4/10/2012,RT,"COPPER, FREE",1022,1204-04839-004,Y,,LC001,DS001,BR  EA  KR  OOM2,
4/10/2012,RT,"COPPER, FREE",1022,1204-04839-005,Y,,LC001,DS001,WOME  NSRO  OM,
4/10/2012,RT,LEAD,1030,1204-04839-001,Y,,LC001,DS001,MEN  SR  OOM1,
4/10/2012,RT,LEAD,1030,1204-04839-002,Y,,LC001,DS001,M  EN  SR  OOM2,
4/10/2012,RT,LEAD,1030,1204-04839-003,Y,,LC001,DS001,BR  EA  KR  OOM1,
4/10/2012,RT,LEAD,1030,1204-04839-004,Y,,LC001,DS001,B  R  EA  KR  OOM2,
4/10/2012,RT,LEAD,1030,1204-04839-005,Y,,LC001,DS001,WOME  NSRO  OM,
7/13/2011,RT,"COPPER, FREE",1022,12I0028,N,0.07MG/L,LC001,DS001,S  MMA  I NTB  L  DGK  I T  CHE  N,
7/13/2011,RT,"COPPER, FREE",1022,12I0029,N,0.05MG/L,LC001,DS001,K#1IT  CH  EN#  2,
7/13/2011,RT,"COPPER, FREE",1022,12I0030,N,0.07MG/L,LC001,DS001,M  EN  S,
7/13/2011,RT,"COPPER, FREE",1022,12I0031,N,0.04MG/L,LC001,DS001,L AD  I ES#  1,
