Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
9/1/2015,RT,"COPPER, FREE",1022,1509-18464-001,N,0.038MG/L,LC001,DS001,109 SNOWCREST
9/1/2015,RT,"COPPER, FREE",1022,1509-18464-002,Y,,LC001,DS001,25SN  OWC  RE  ST
9/1/2015,RT,"COPPER, FREE",1022,1509-18464-003,N,0.046MG/L,LC001,DS001,34S  N  OWC  RE  ST
9/1/2015,RT,"COPPER, FREE",1022,1509-18464-004,N,0.53MG/L,LC001,DS001,8H  I GH  L  AN  D
9/1/2015,RT,"COPPER, FREE",1022,1509-18464-005,N,0.034MG/L,LC001,DS001,4 2WI N  DT  OP
9/1/2015,RT,LEAD,1030,1509-18464-001,Y,,LC001,DS001,10 9SN  OWC  RE  ST
9/1/2015,RT,LEAD,1030,1509-18464-002,Y,,LC001,DS001,2  5SN  OWC  RE  ST
9/1/2015,RT,LEAD,1030,1509-18464-003,Y,,LC001,DS001,3  4SN  OWC  RE  ST
9/1/2015,RT,LEAD,1030,1509-18464-004,N,0.015MG/L,LC001,DS001,8H  I GH  L  AN  D
9/1/2015,RT,LEAD,1030,1509-18464-005,Y,,LC001,DS001,4 2WI N  DT  OP
8/9/2012,RT,"COPPER, FREE",1022,1208-11768-001,N,0.093MG/L,LC001,DS001,34S  N  OWC  RE  ST
8/9/2012,RT,"COPPER, FREE",1022,1208-11768-003,N,0.036MG/L,LC001,DS001,4 0SN  OWC  RE  ST
8/9/2012,RT,"COPPER, FREE",1022,1208-11768-004,N,0.030MG/L,LC001,DS001,9  2SN  OWC  RE  ST
8/9/2012,RT,"COPPER, FREE",1022,1208-11768-005,Y,,LC001,DS001,1  09S  N  OWC  RE  ST
8/9/2012,RT,LEAD,1030,1208-11768-001,N,0.002MG/L,LC001,DS001,3  4S  N  OWC  RE  ST
8/9/2012,RT,LEAD,1030,1208-11768-003,Y,,LC001,DS001,4 0SN  OWC  RE  ST
8/9/2012,RT,LEAD,1030,1208-11768-004,Y,,LC001,DS001,9  2SN  OWC  RE  ST
8/9/2012,RT,LEAD,1030,1208-11768-005,Y,,LC001,DS001,1 0  9SN  OWC  RE  ST
8/8/2012,RT,"COPPER, FREE",1022,1208-11768-002,N,0.075MG/L,LC001,DS001,2  5SN  OWC  RE  ST
8/8/2012,RT,LEAD,1030,1208-11768-002,N,0.001MG/L,LC001,DS001,2  5S  N  OWC  RE  ST
7/22/2009,RT,"COPPER, FREE",1022,0907-10289001,N,0.10MG/L,LC001,DS001,3  4S  N  OWC  RE  ST
7/22/2009,RT,"COPPER, FREE",1022,0907-10289002,N,0.071MG/L,LC001,DS001,4 0SN  OWC  RE  ST
7/22/2009,RT,"COPPER, FREE",1022,0907-10289003,N,0.039MG/L,LC001,DS001,1  0  9SN  OWC  RE  ST
7/22/2009,RT,"COPPER, FREE",1022,0907-10289004,N,0.080MG/L,LC001,DS001,2  5S  N  OWC  RE  ST
7/22/2009,RT,"COPPER, FREE",1022,0907-10289005,N,0.080MG/L,LC001,DS001,9 2S  N  OWC  RE  ST
7/22/2009,RT,LEAD,1030,0907-10289001,N,0.003MG/L,LC001,DS001,3  4SN  OWC  RE  ST
7/22/2009,RT,LEAD,1030,0907-10289002,Y,,LC001,DS001,4  0S  N  OWC  RE  ST
7/22/2009,RT,LEAD,1030,0907-10289003,Y,,LC001,DS001,10 9S  N  OWC  RE  ST
7/22/2009,RT,LEAD,1030,0907-10289004,Y,,LC001,DS001,2  5SN  OWC  RE  ST
7/22/2009,RT,LEAD,1030,0907-10289005,Y,,LC001,DS001,9  2SN  OWC  RE  ST
7/17/2008,RT,"COPPER, FREE",1022,0807-09928,N,0.032MG/L,LC001,DS001,42WI N  DT  OPRD
7/17/2008,RT,LEAD,1030,0807-09928,Y,,LC001,DS001,42WI N  DT  OPRD
9/19/2005,RT,"COPPER, FREE",1022,06I0397,N,0.08MG/L,LC001,DS001,9  2S  N  OWC  RE  STR  D
9/19/2005,RT,"COPPER, FREE",1022,06I0398,N,0.13MG/L,LC001,DS001,P  A  L  MER  / 3  4SN  OWCRE  S  T
