Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/26/2016,RT,"COPPER, FREE",1022,160922.02,N,0.017MG/L,LC001,DS001,PAUL SAVAGE,,
9/26/2016,RT,"COPPER, FREE",1022,160922.03,N,0.026MG/L,LC001,DS001,PA  UL  I N  EJ  O  HNS  E  Y,,
9/26/2016,RT,LEAD,1030,160922.02,Y,,LC001,DS001,PA  ULS  AV  A  GE,,
9/26/2016,RT,LEAD,1030,160922.03,Y,,LC001,DS001,PA  UL  I N  EJ  O  HNS  E  Y,,
9/19/2016,RT,"COPPER, FREE",1022,160679.01,Y,,LC001,DS001,WE  L  L,,
9/19/2016,RT,"COPPER, FREE",1022,160679.02_LC,N,0.087MG/L,LC001,DS001,TO  WNHA  L  L2  7SC  HOOL,,
9/19/2016,RT,"COPPER, FREE",1022,160679.03,N,0.061MG/L,LC001,DS001,HPAOUULS ELA RPDIN  E8  7V  TRT  E,,1  0  5
9/19/2016,RT,LEAD,1030,160679.01,Y,,LC001,DS001,WE  L  L,,
9/19/2016,RT,LEAD,1030,160679.02_LC,Y,,LC001,DS001,TO  WNHA  L  L2  7SC  HOOL,,
9/19/2016,RT,LEAD,1030,160679.03,N,0.006MG/L,LC001,DS001,PHAOUULS ELA RPDIN  E8  7V  TRT  E,,1  0  5
9/30/2013,RT,"COPPER, FREE",1022,125043.03,N,0.007MG/L,LC001,DS001,P  A  UL  I N  EJ  O  HNS  E  Y,,
9/30/2013,RT,LEAD,1030,125043.03,Y,,LC001,DS001,PA  UL  I N  EJ  O  HNS  E  Y,,
9/29/2013,RT,"COPPER, FREE",1022,125043.01,N,0.11MG/L,LC001,DS001,P.S  AV  A  GE,,
9/29/2013,RT,"COPPER, FREE",1022,125043.02,N,0.021MG/L,LC001,DS001,PA  ULL  A  PI N  E,,
9/29/2013,RT,LEAD,1030,125043.01,N,0.013MG/L,LC001,DS001,P  .S  AV  A  GE,,
9/29/2013,RT,LEAD,1030,125043.02,Y,,LC001,DS001,PA  ULL  A  PI N  E,,
8/26/2013,RT,"COPPER, FREE",1022,123902.01,N,0.077MG/L,LC001,DS001,B  L  OO  MFI E  L  DT  OWNH  AL  L,,
8/26/2013,RT,"COPPER, FREE",1022,123902.02,N,0.003MG/L,LC001,DS001,B  L  OO  MFI E  L  DWE  L  L,,
8/26/2013,RT,LEAD,1030,123902.01,Y,,LC001,DS001,B  L  OO  MFI E  L  DT  OWNH  AL  L,,
8/26/2013,RT,LEAD,1030,123902.02,Y,,LC001,DS001,BL  OO  MFI E  L  DWE  L  L,,
9/22/2010,RT,"COPPER, FREE",1022,93023,N,0.022MG/L,LC001,DS001,,,
9/22/2010,RT,LEAD,1030,93023,Y,,LC001,DS001,,,
8/24/2010,RT,"COPPER, FREE",1022,9213901,N,0.015MG/L,LC001,DS001,STORE,,
8/24/2010,RT,"COPPER, FREE",1022,9213902,N,0.035MG/L,LC001,DS001,L  E  P  I NE,,
8/24/2010,RT,"COPPER, FREE",1022,9213903,N,0.005MG/L,LC001,DS001,PS  AV  A  GE,,
8/24/2010,RT,"COPPER, FREE",1022,9213904,N,0.11MG/L,LC001,DS001,TH  AL  L,,
8/24/2010,RT,LEAD,1030,9213901,N,0.001MG/L,LC001,DS001,ST  OR  E,,
8/24/2010,RT,LEAD,1030,9213902,Y,,LC001,DS001,LE  P  I NE,,
8/24/2010,RT,LEAD,1030,9213903,Y,,LC001,DS001,PS  AV  A  GE,,
8/24/2010,RT,LEAD,1030,9213904,N,0.001MG/L,LC001,DS001,TH  AL  L,,
9/28/2009,RT,"COPPER, FREE",1022,8308701,N,0.14MG/L,LC001,DS001,B  L  OO  MFI E  L  DT  OWNH  AL  L,,
9/28/2009,RT,LEAD,1030,8308701,Y,,LC001,DS001,BL  OO  MFI E  L  DT  OWNH  AL  L,,
7/28/2009,RT,"COPPER, FREE",1022,8131801,N,0.006MG/L,LC001,DS001,ST  OR  E,,
7/28/2009,RT,"COPPER, FREE",1022,8131802,N,0.096MG/L,LC001,DS001,T  O  WNHA  L  L,,
