Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/12/2017,RT,"COPPER, FREE",1022,1709-21555-001,Y,,LC001,DS001,LOT #23,,
9/12/2017,RT,"COPPER, FREE",1022,1709-21555-002,Y,,LC001,DS001,L OT#  2  7,,
9/12/2017,RT,"COPPER, FREE",1022,1709-21555-003,Y,,LC001,DS001,L  OT#  2  9,,
9/12/2017,RT,"COPPER, FREE",1022,1709-21555-004,Y,,LC001,DS001,L OT#  9,,
9/12/2017,RT,"COPPER, FREE",1022,1709-21555-005,N,0.14MG/L,LC001,DS001,L  O  T#  1  1,,
9/12/2017,RT,LEAD,1030,1709-21555-001,Y,,LC001,DS001,LO  T#  2  3,,
9/12/2017,RT,LEAD,1030,1709-21555-002,Y,,LC001,DS001,L  OT#  2  7,,
9/12/2017,RT,LEAD,1030,1709-21555-003,Y,,LC001,DS001,L  O  T#  2  9,,
9/12/2017,RT,LEAD,1030,1709-21555-004,Y,,LC001,DS001,L OT#  9,,
9/12/2017,RT,LEAD,1030,1709-21555-005,N,0.0021MG/L,LC001,DS001,L  OT#  1  1,,
8/3/2016,RT,"COPPER, FREE",1022,1608-16980-001,Y,,LC001,DS001,L OT#  2  3,,
8/3/2016,RT,"COPPER, FREE",1022,1608-16980-002,Y,,LC001,DS001,LO  T#  2  7,,
8/3/2016,RT,"COPPER, FREE",1022,1608-16980-003,Y,,LC001,DS001,L  OT#  2  9,,
8/3/2016,RT,"COPPER, FREE",1022,1608-16980-004,Y,,LC001,DS001,L OT#  9,,
8/3/2016,RT,"COPPER, FREE",1022,1608-16980-005,N,0.18MG/L,LC001,DS001,L  OT#  1  1,,
8/3/2016,RT,LEAD,1030,1608-16980-001,Y,,LC001,DS001,L OT#  2  3,,
8/3/2016,RT,LEAD,1030,1608-16980-002,Y,,LC001,DS001,LO  T#  2  7,,
8/3/2016,RT,LEAD,1030,1608-16980-003,Y,,LC001,DS001,L  OT#  2  9,,
8/3/2016,RT,LEAD,1030,1608-16980-004,Y,,LC001,DS001,L  O  T#  9,,
8/3/2016,RT,LEAD,1030,1608-16980-005,Y,,LC001,DS001,LO  T#  1  1,,
5/5/2016,RT,"COPPER, FREE",1022,1605-09041-001,Y,,LC001,DS001,L  O  T#  2  3,,
5/5/2016,RT,"COPPER, FREE",1022,1605-09041-002,Y,,LC001,DS001,L  O  T#  2  7,,
5/5/2016,RT,"COPPER, FREE",1022,1605-09041-003,Y,,LC001,DS001,L  OT#  2  9,,
5/5/2016,RT,"COPPER, FREE",1022,1605-09041-004,Y,,LC001,DS001,L  OT#  9,,
5/5/2016,RT,"COPPER, FREE",1022,1605-09041-005,N,0.18MG/L,LC001,DS001,L  OT#  1  1,,
5/5/2016,RT,LEAD,1030,1605-09041-001,Y,,LC001,DS001,LO  T#  2  3,,
5/5/2016,RT,LEAD,1030,1605-09041-002,Y,,LC001,DS001,L  OT#  2  7,,
5/5/2016,RT,LEAD,1030,1605-09041-003,Y,,LC001,DS001,L OT#  2  9,,
5/5/2016,RT,LEAD,1030,1605-09041-004,Y,,LC001,DS001,L  O  T#  9,,
5/5/2016,RT,LEAD,1030,1605-09041-005,N,0.003MG/L,LC001,DS001,LO  T#  1  1,,
4/19/2016,RT,"COPPER, FREE",1022,1604-07756-001,Y,,TC001,DS001,CL  OS  ES  TEN  T  RYPOI N  T,,TO
4/19/2016,RT,LEAD,1030,1604-07756-001,N,0.002MG/L,TC001,DS001,DCLISOTSREIBSUTT EIONNTRYP  OI N,T,T  O
3/30/2016,SP,"COPPER, FREE",1022,1603-06110-001,N,0.19MG/L,LC001,DS001,LDOISTT #R1IB1 U  T  I ON,,
3/30/2016,SP,LEAD,1030,1603-06110-001,N,0.002MG/L,LC001,DS001,L  OT#  1  1,,
