Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
6/1/2017,RT,"COPPER, FREE",1022,1706-11576-001,N,0.25MG/L,LC001,DS001,BASE,,
6/1/2017,RT,"COPPER, FREE",1022,1706-11576-002,N,0.22MG/L,LC001,DS001,UNI S  E  X,,
6/1/2017,RT,"COPPER, FREE",1022,1706-11576-003,N,0.32MG/L,LC001,DS001,C  A  FE  T  ER  I A,,
6/1/2017,RT,"COPPER, FREE",1022,1706-11576-004,N,0.21MG/L,LC001,DS001,L AD  I ESBA  T  H,,
6/1/2017,RT,"COPPER, FREE",1022,1706-11576-005,N,0.23MG/L,LC001,DS001,G  AR  AG  EB  AT  H,,
6/1/2017,RT,LEAD,1030,1706-11576-001,Y,,LC001,DS001,B  A  SE,,
6/1/2017,RT,LEAD,1030,1706-11576-002,Y,,LC001,DS001,UNI S  E  X,,
6/1/2017,RT,LEAD,1030,1706-11576-003,Y,,LC001,DS001,CA  FE  T  ER  I A,,
6/1/2017,RT,LEAD,1030,1706-11576-004,Y,,LC001,DS001,L AD  I ESBA  T  H,,
6/1/2017,RT,LEAD,1030,1706-11576-005,Y,,LC001,DS001,GAR  AG  EB  AT  H,,
6/1/2016,RT,"COPPER, FREE",1022,1606-11105-001,Y,,LC001,DS001,EQU  I PS  HE  D,,
6/1/2016,RT,"COPPER, FREE",1022,1606-11105-002,N,0.22MG/L,LC001,DS001,L  AD  I ESRM-2  NDF  L  OOR,,
6/1/2016,RT,"COPPER, FREE",1022,1606-11105-003,N,0.023MG/L,LC001,DS001,C  A  FA  T  ER  I A1  S  TF  L  OOR,,
6/1/2016,RT,"COPPER, FREE",1022,1606-11105-004,N,0.033MG/L,LC001,DS001,G  AR  AG  EB  AT  H1  STF  L  O,OR,
6/1/2016,RT,"COPPER, FREE",1022,1606-11105-005,Y,,LC001,DS001,U  NI S  E  XB  AS  T  H1  S  TFL  O  O,,R
6/1/2016,RT,LEAD,1030,1606-11105-001,Y,,LC001,DS001,EQU  I PS  HE  D,,
6/1/2016,RT,LEAD,1030,1606-11105-002,Y,,LC001,DS001,L  A  D  I ESRM-2  NDF  L  OOR,,
6/1/2016,RT,LEAD,1030,1606-11105-003,Y,,LC001,DS001,C  A  FA  T  ER  I A1  S  TF  L  OOR,,
6/1/2016,RT,LEAD,1030,1606-11105-004,Y,,LC001,DS001,G  AR  AG  EB  AT  H1  STF  L  O,OR,
6/1/2016,RT,LEAD,1030,1606-11105-005,Y,,LC001,DS001,U  NI S  E  XB  AS  T  H1  S  TFL  O  O,,R
7/8/2015,RT,"COPPER, FREE",1022,1507-13784-001,N,0.030MG/L,LC001,DS001,BA  SE-EQ  UI PSH  ED,,
7/8/2015,RT,"COPPER, FREE",1022,1507-13784-002,N,0.053MG/L,LC001,DS001,C  A  FA  T  ER  I A,,
7/8/2015,RT,"COPPER, FREE",1022,1507-13784-003,N,0.13MG/L,LC001,DS001,A  L  T#  1L  A  DI E  SR  OOM,,
7/8/2015,RT,"COPPER, FREE",1022,1507-13784-004,N,0.031MG/L,LC001,DS001,A  L  T#  2ME  N' SROO  M,,
7/8/2015,RT,"COPPER, FREE",1022,1507-13784-005,Y,,LC001,DS001,GAR  AG  EB  AT  H  ROOM,,
7/8/2015,RT,LEAD,1030,1507-13784-001,Y,,LC001,DS001,B  A  SE-EQ  UI PSH  ED,,
7/8/2015,RT,LEAD,1030,1507-13784-002,N,0.002MG/L,LC001,DS001,C  A  FA  T  ER  I A,,
7/8/2015,RT,LEAD,1030,1507-13784-003,Y,,LC001,DS001,AL  T#  1L  A  DI E  SR  OOM,,
7/8/2015,RT,LEAD,1030,1507-13784-004,Y,,LC001,DS001,A  L  T#  2ME  N' SROO  M,,
7/8/2015,RT,LEAD,1030,1507-13784-005,Y,,LC001,DS001,G  AR  AG  EB  AT  H  ROOM,,
7/31/2014,RT,"COPPER, FREE",1022,1407-15083-001,N,0.037MG/L,LC001,DS001,B  A  SE,,
7/31/2014,RT,"COPPER, FREE",1022,1407-15083-002,Y,,LC001,DS001,CA  FE  T  ER  I A,,
7/31/2014,RT,"COPPER, FREE",1022,1407-15083-003,Y,,LC001,DS001,G  AR  AG  EB  AT  H,,
7/31/2014,RT,"COPPER, FREE",1022,1407-15083-004,Y,,LC001,DS001,U  NI S  E  XB  AT  H,,
