Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-001,N,0.053MG/L,LC001,DS001,"WSID 5330, 1",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-002,N,0.037MG/L,LC001,DS001,"WS  I D5  3  3  0  ,3",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-003,N,0.032MG/L,LC001,DS001,"WS  I D5  3  3  0  ,5",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-004,N,0.026MG/L,LC001,DS001,"WS  I D5  3  3  0  ,7",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-005,N,0.10MG/L,LC001,DS001,"WS  I D5  3  3  0  ,9",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-006,N,0.11MG/L,LC001,DS001,"WS  I D5  3  3  0  ,1  1",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-007,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  3",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-008,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  5",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-009,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  7",
9/14/2015,RT,"COPPER, FREE",1022,1509-19632-010,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  9",
9/14/2015,RT,LEAD,1030,1509-19632-001,N,0.001MG/L,LC001,DS001,"WS  I D5  3  3  0  ,1",
9/14/2015,RT,LEAD,1030,1509-19632-002,Y,,LC001,DS001,"WS  I D5  3  3  0  ,3",
9/14/2015,RT,LEAD,1030,1509-19632-003,Y,,LC001,DS001,"WS  I D5  3  3  0  ,5",
9/14/2015,RT,LEAD,1030,1509-19632-004,Y,,LC001,DS001,"WS  I D5  3  3  0  ,7",
9/14/2015,RT,LEAD,1030,1509-19632-005,Y,,LC001,DS001,"WS  I D5  3  3  0  ,9",
9/14/2015,RT,LEAD,1030,1509-19632-006,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  1",
9/14/2015,RT,LEAD,1030,1509-19632-007,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  3",
9/14/2015,RT,LEAD,1030,1509-19632-008,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  5",
9/14/2015,RT,LEAD,1030,1509-19632-009,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  7",
9/14/2015,RT,LEAD,1030,1509-19632-010,Y,,LC001,DS001,"WS  I D5  3  3  0  ,1  9",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-001,Y,,LC001,DS001,"WS  I D5  3  3  0  ,GR  I MES",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-002,N,0.17MG/L,LC001,DS001,"WS  I D5  3  3  0  ,H  AT  CH",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-003,Y,,LC001,DS001,"WS  I D5  3  3  0  ,R  OYA  L  T  ON",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-004,N,0.079MG/L,LC001,DS001,"AWUSTIDO  5  3  3  0  ,P  ET  T  I NG  I L  L",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-005,Y,,LC001,DS001,"WS  I D5  3  3  0  ,WRI GH  THO",U  SE
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-006,Y,,LC001,DS001,"WS  I D5  3  3  0  ,WAR  ET  A  YL  O  R",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-007,N,0.061MG/L,LC001,DS001,"WS  I D5  3  3  0  ,MA  NN  I NG",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-008,N,0.037MG/L,LC001,DS001,"WS  I D5  3  3  0  ,B  L  OS  SOM",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-009,Y,,LC001,DS001,"WS  I D5  3  3  0  ,WEL  C  H",
8/13/2012,RT,"COPPER, FREE",1022,1208-11879-010,Y,,LC001,DS001,"WS  I D5  3  3  0  ,A  BB  OT  T",
8/13/2012,RT,LEAD,1030,1208-11879-001,Y,,LC001,DS001,"WS  I D5  3  3  0  ,GR  I MES",
8/13/2012,RT,LEAD,1030,1208-11879-002,N,0.003MG/L,LC001,DS001,"WS  I D5  3  3  0  ,H  AT  CH",
8/13/2012,RT,LEAD,1030,1208-11879-003,N,0.003MG/L,LC001,DS001,"WS  I D5  3  3  0  ,R  OYA  L  T  ON",
8/13/2012,RT,LEAD,1030,1208-11879-004,N,0.001MG/L,LC001,DS001,"WAUSTIDO  5  3  3  0  ,P  ET  T  I NG  I L  L",
