Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
6/15/2017,RT,"COPPER, FREE",1022,1706-13212-002,N,0.082MG/L,LC001,DS001,F-3
6/15/2017,RT,LEAD,1030,1706-13212-002,Y,,LC001,DS001,F- 3
6/14/2017,RT,"COPPER, FREE",1022,1706-13212-003,N,0.12MG/L,LC001,DS001,S- 1
6/14/2017,RT,LEAD,1030,1706-13212-003,N,0.0011MG/L,LC001,DS001,S- 1
6/13/2017,RT,"COPPER, FREE",1022,1706-13212-001,N,0.17MG/L,LC001,DS001,J  - 1
6/13/2017,RT,"COPPER, FREE",1022,1706-13212-004,N,0.28MG/L,LC001,DS001,D- 3
6/13/2017,RT,"COPPER, FREE",1022,1706-13212-005,N,0.12MG/L,LC001,DS001,M  -  2
6/13/2017,RT,LEAD,1030,1706-13212-001,N,0.0011MG/L,LC001,DS001,J - 1
6/13/2017,RT,LEAD,1030,1706-13212-004,Y,,LC001,DS001,D  - 3
6/13/2017,RT,LEAD,1030,1706-13212-005,Y,,LC001,DS001,M  -  2
9/19/2013,RT,"COPPER, FREE",1022,1309-18786-001,N,0.19MG/L,LC001,DS001,U  NI TC  -  1
9/19/2013,RT,"COPPER, FREE",1022,1309-18786-002,N,0.56MG/L,LC001,DS001,UNI TT  - 4
9/19/2013,RT,"COPPER, FREE",1022,1309-18786-003,N,0.13MG/L,LC001,DS001,UNI TJ  - 2
9/19/2013,RT,"COPPER, FREE",1022,1309-18786-004,N,0.10MG/L,LC001,DS001,UNI TM- 2
9/19/2013,RT,"COPPER, FREE",1022,1309-18786-005,N,0.15MG/L,LC001,DS001,U  NI TO- 1
9/19/2013,RT,LEAD,1030,1309-18786-001,Y,,LC001,DS001,UNI TC  -  1
9/19/2013,RT,LEAD,1030,1309-18786-002,Y,,LC001,DS001,UNI TT  - 4
9/19/2013,RT,LEAD,1030,1309-18786-003,Y,,LC001,DS001,UNI TJ  - 2
9/19/2013,RT,LEAD,1030,1309-18786-004,Y,,LC001,DS001,U  NI TM- 2
9/19/2013,RT,LEAD,1030,1309-18786-005,N,0.002MG/L,LC001,DS001,U  NI TO- 1
9/28/2010,RT,"COPPER, FREE",1022,1009-13327001,Y,,LC001,DS001,U  NI TS  - 1
9/28/2010,RT,"COPPER, FREE",1022,1009-13327002,Y,,LC001,DS001,UNI TD  -  3
9/28/2010,RT,"COPPER, FREE",1022,1009-13327003,Y,,LC001,DS001,UNI TJ  - 2
9/28/2010,RT,"COPPER, FREE",1022,1009-13327004,Y,,LC001,DS001,U  NI TM- 2
9/28/2010,RT,"COPPER, FREE",1022,1009-13327005,Y,,LC001,DS001,U  NI TF  - 3
9/28/2010,RT,LEAD,1030,1009-13327001,N,0.001MG/L,LC001,DS001,U  NI TS  - 1
9/28/2010,RT,LEAD,1030,1009-13327002,Y,,LC001,DS001,UNI TD  -  3
9/28/2010,RT,LEAD,1030,1009-13327003,N,0.002MG/L,LC001,DS001,UNI TJ  - 2
9/28/2010,RT,LEAD,1030,1009-13327004,Y,,LC001,DS001,UNI TM- 2
9/28/2010,RT,LEAD,1030,1009-13327005,N,0.001MG/L,LC001,DS001,UNI TF  - 3
8/29/2007,RT,"COPPER, FREE",1022,306463,N,0.056MG/L,LC001,DS001,S- 1
8/29/2007,RT,"COPPER, FREE",1022,306464,N,0.071MG/L,LC001,DS001,D  - 3
8/29/2007,RT,"COPPER, FREE",1022,306465,N,0.101MG/L,LC001,DS001,J - 2
8/29/2007,RT,"COPPER, FREE",1022,306466,N,0.120MG/L,LC001,DS001,M  -  2
