Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/13/2016,RT,"COPPER, FREE",1022,1609-20670-001,N,0.40MG/L,LC001,DS001,KITCHEN,,
9/13/2016,RT,"COPPER, FREE",1022,1609-20670-002,N,0.21MG/L,LC001,DS001,DOWNS  T  AI R  SB  AT  H,,
9/13/2016,RT,"COPPER, FREE",1022,1609-20670-003,N,0.34MG/L,LC001,DS001,L  A  B1  3  4,,
9/13/2016,RT,"COPPER, FREE",1022,1609-20670-004,Y,,LC001,DS001,U  P  ST  A  I RSMEN  ' SR  OOM,,
9/13/2016,RT,"COPPER, FREE",1022,1609-20670-005,N,0.057MG/L,LC001,DS001,UP  ST  A  I RSWOME  NSRO  O,,M
9/13/2016,RT,LEAD,1030,1609-20670-001,Y,,LC001,DS001,K  I T  CH  EN,,
9/13/2016,RT,LEAD,1030,1609-20670-002,N,0.005MG/L,LC001,DS001,D  OWNS  T  AI R  SB  AT  H,,
9/13/2016,RT,LEAD,1030,1609-20670-003,Y,,LC001,DS001,LA  B1  3  4,,
9/13/2016,RT,LEAD,1030,1609-20670-004,N,0.001MG/L,LC001,DS001,U  P  ST  A  I RSMEN  ' SR  OOM,,
9/13/2016,RT,LEAD,1030,1609-20670-005,N,0.002MG/L,LC001,DS001,UP  ST  A  I RSWOME  NSRO  O,,M
5/24/2016,RT,"COPPER, FREE",1022,1605-10507-001,N,0.41MG/L,LC001,DS001,K  I T  CH  EN,,
5/24/2016,RT,"COPPER, FREE",1022,1605-10507-002,N,0.23MG/L,LC001,DS001,DOWNS  T  AI R  SWOME  NS,,
5/24/2016,RT,"COPPER, FREE",1022,1605-10507-003,N,0.34MG/L,LC001,DS001,DOWNS  T  AI R  SME  N,,
5/24/2016,RT,"COPPER, FREE",1022,1605-10507-004,N,0.21MG/L,LC001,DS001,L  A  B1  3  4,,
5/24/2016,RT,"COPPER, FREE",1022,1605-10507-005,N,0.28MG/L,LC001,DS001,U  P  ST  A  I RSBA  T  H,,
5/24/2016,RT,LEAD,1030,1605-10507-001,Y,,LC001,DS001,K  I T  CH  EN,,
5/24/2016,RT,LEAD,1030,1605-10507-002,N,0.002MG/L,LC001,DS001,D  OWNS  T  AI R  SWOME  NS,,
5/24/2016,RT,LEAD,1030,1605-10507-003,Y,,LC001,DS001,DOWNS  T  AI R  SME  N,,
5/24/2016,RT,LEAD,1030,1605-10507-004,Y,,LC001,DS001,L AB1  3  4,,
5/24/2016,RT,LEAD,1030,1605-10507-005,Y,,LC001,DS001,UP  ST  A  I RSBA  T  H,,
6/2/2015,RT,"COPPER, FREE",1022,1506-10551-001,N,0.093MG/L,LC001,DS001,KI T  CH  EN,,
6/2/2015,RT,"COPPER, FREE",1022,1506-10551-002,N,0.47MG/L,LC001,DS001,D  OWNME  N' SB  AT  H,,
6/2/2015,RT,"COPPER, FREE",1022,1506-10551-003,N,0.078MG/L,LC001,DS001,D  OWNWOME  N' SBA  T  H,,
6/2/2015,RT,"COPPER, FREE",1022,1506-10551-004,N,0.40MG/L,LC001,DS001,UPBA  T  H,,
6/2/2015,RT,"COPPER, FREE",1022,1506-10551-005,N,0.23MG/L,LC001,DS001,L  AB1  3  4,,
6/2/2015,RT,LEAD,1030,1506-10551-001,Y,,LC001,DS001,KI T  CH  EN,,
6/2/2015,RT,LEAD,1030,1506-10551-002,N,0.002MG/L,LC001,DS001,D  OWNME  N' SB  AT  H,,
6/2/2015,RT,LEAD,1030,1506-10551-003,Y,,LC001,DS001,D  OWNWOME  N' SBA  T  H,,
6/2/2015,RT,LEAD,1030,1506-10551-004,Y,,LC001,DS001,U  PBA  T  H,,
6/2/2015,RT,LEAD,1030,1506-10551-005,Y,,LC001,DS001,L AB1  3  4,,
9/16/2014,RT,"COPPER, FREE",1022,1409-19190-001,N,0.57MG/L,LC001,DS001,1  S  TF  L  OORMEN  S,,
9/16/2014,RT,"COPPER, FREE",1022,1409-19190-002,N,0.25MG/L,LC001,DS001,1 STF  L  OORWOME  NS,,
9/16/2014,RT,"COPPER, FREE",1022,1409-19190-003,N,0.49MG/L,LC001,DS001,K  I T  CH  EN,,
9/16/2014,RT,"COPPER, FREE",1022,1409-19190-004,N,0.28MG/L,LC001,DS001,L  AB#  1  3  4,,
