Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
6/7/2017,RT,"COPPER, FREE",1022,1706-12400-001,Y,,LC001,DS001,"WSID 6098, KITCHEN SINK"
6/7/2017,RT,"COPPER, FREE",1022,1706-12400-002,Y,,LC001,DS001,"WS  I D6  0  9  8  ,S  CI E  NC  ER  OOM"
6/7/2017,RT,"COPPER, FREE",1022,1706-12400-003,Y,,LC001,DS001,"WS  I D6  0  9  8  ,B  OY  S"
6/7/2017,RT,"COPPER, FREE",1022,1706-12400-004,Y,,LC001,DS001,"BWASTIDH R6O09O8M, NU  RS  E'SS  I NK"
6/7/2017,RT,"COPPER, FREE",1022,1706-12400-005,Y,,LC001,DS001,"WS  I D6  0  9  8  ,A  RTRO  OMSI N  K"
6/7/2017,RT,LEAD,1030,1706-12400-001,N,0.0046MG/L,LC001,DS001,"WS  I D6  0  9  8  ,K  I T  CHE  NS  I NK"
6/7/2017,RT,LEAD,1030,1706-12400-002,N,0.0031MG/L,LC001,DS001,"WS  I D6  0  9  8  ,S  CI E  NC  ER  OOM"
6/7/2017,RT,LEAD,1030,1706-12400-003,N,0.0088MG/L,LC001,DS001,"WS  I D6  0  9  8  ,B  OY  S"
6/7/2017,RT,LEAD,1030,1706-12400-004,N,0.0023MG/L,LC001,DS001,"BWASTIDH R6O09O8M, NU  RS  E'SS  I NK"
6/7/2017,RT,LEAD,1030,1706-12400-005,Y,,LC001,DS001,"WS  I D6  0  9  8  ,A  RTRO  OMSI N  K"
11/2/2016,RT,"COPPER, FREE",1022,1611-25382-001,N,0.040MG/L,LC001,DS001,"WS  I D6  0  9  8  ,K  I T  CHE  NS  I NK"
11/2/2016,RT,"COPPER, FREE",1022,1611-25382-002,N,0.028MG/L,LC001,DS001,"WS  I D6  0  9  8  ,S  CI E  NC  ER  OOM"
11/2/2016,RT,"COPPER, FREE",1022,1611-25382-003,N,0.025MG/L,LC001,DS001,"WS  I D6  0  9  8  ,B  AT  HRM.S  I NK"
11/2/2016,RT,"COPPER, FREE",1022,1611-25382-004,N,0.037MG/L,LC001,DS001,"8WTSHID6  0  9  8  ,NU  RS  ESS  I NK"
11/2/2016,RT,"COPPER, FREE",1022,1611-25382-005,N,0.031MG/L,LC001,DS001,"WS  I D6  0  9  8  ,A  RTRO  OMSI N  K"
11/2/2016,RT,LEAD,1030,1611-25382-001,Y,,LC001,DS001,"WS  I D6  0  9  8  ,K  I T  CHE  NS  I NK"
11/2/2016,RT,LEAD,1030,1611-25382-002,Y,,LC001,DS001,"WS  I D6  0  9  8  ,S  CI E  NC  ER  OOM"
11/2/2016,RT,LEAD,1030,1611-25382-003,Y,,LC001,DS001,"WS  I D6  0  9  8  ,B  AT  HRM.S  I NK"
11/2/2016,RT,LEAD,1030,1611-25382-004,Y,,LC001,DS001,"W8TSHID6  0  9  8  ,NU  RS  ESS  I NK"
11/2/2016,RT,LEAD,1030,1611-25382-005,Y,,LC001,DS001,"WS  I D6  0  9  8  ,A  RTRO  OMSI N  K"
8/21/2013,RT,"COPPER, FREE",1022,13-IB-00662-001,N,0.07MG/L,LC001,DS001,WA  T  ERFO  UNT  A  I N^6  8
8/21/2013,RT,"COPPER, FREE",1022,13-IB-00663-001,Y,,LC001,DS001,ASCRTH OROOLOHMO ^U 6S8E  RD
8/21/2013,RT,"COPPER, FREE",1022,13-IB-00664-001,Y,,LC001,DS001,KSCITHCOHOELNH SOINUKS E^  6R8D
8/21/2013,RT,"COPPER, FREE",1022,13-IB-00665-001,Y,,LC001,DS001,NSCUHROSEOSL HOOFUFISCEE R ^D 6 8
8/21/2013,RT,"COPPER, FREE",1022,13-IB-00666-001,N,0.02MG/L,LC001,DS001,BSCOHYO'SO BLAHTOHURSOEO RMD ^6  8
8/21/2013,RT,LEAD,1030,13-IB-00662-001,Y,,LC001,DS001,WSCAHTOERO LFHOOUUNSTEA IRND ^6  8
8/21/2013,RT,LEAD,1030,13-IB-00663-001,N,0.005MG/L,LC001,DS001,ASRCHT OROOLOHMO ^U 6S8E  RD
8/21/2013,RT,LEAD,1030,13-IB-00664-001,Y,,LC001,DS001,SKICTHCOHOENLH SOINUKS E^  6R8D
8/21/2013,RT,LEAD,1030,13-IB-00665-001,N,0.002MG/L,LC001,DS001,NSCUHROSEOSL HOOFUFSICEE R ^D 6 8
8/21/2013,RT,LEAD,1030,13-IB-00666-001,N,0.004MG/L,LC001,DS001,BSCOHYO'SO BLAHTOHURSOEO RMD ^6  8
6/22/2011,RT,"COPPER, FREE",1022,11C3280,N,0.03MG/L,EP002,TP001,KSICTHCOHOENLH  OUS  ER  D
6/22/2011,RT,LEAD,1030,11C3280,Y,,EP002,TP001,KI T  CH  EN
8/17/2010,RT,"COPPER, FREE",1022,11I0161,Y,,LC001,DS001,KI N  DE  RGA  RT  E  N
8/17/2010,RT,"COPPER, FREE",1022,11I0162,Y,,LC001,DS001,BOY  SROOM
