Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
9/27/2017,RT,"COPPER, FREE",1022,1709-23381-008,N,0.23MG/L,LC001,DS001,TIMBERLINE LODGE,
9/27/2017,RT,LEAD,1030,1709-23381-008,Y,,LC001,DS001,T  I MB  E  RL  I NEL  OD  GE,
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-001,N,0.25MG/L,LC001,DS001,39  6 4B  OL  T  ONAC  CE  SS,RD
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-002,N,0.98MG/L,LC001,DS001,SK  IPA  T  ROL,
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-003,N,0.28MG/L,LC001,DS001,SP  ORT  SCE  NT  E  RK  I TC  H,E  N
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-004,N,0.10MG/L,LC001,DS001,SP  ORT  S  MEN  SB  A  THSI N  K,
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-005,N,0.088MG/L,LC001,DS001,B  UDE  L  ISI N  K,
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-006,N,0.16MG/L,LC001,DS001,13  0SP  ORTC  EN  TE  RS  I N,K
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-009,N,0.032MG/L,LC001,DS001,1  92WE  NT  WORT  H,
9/26/2017,RT,"COPPER, FREE",1022,1709-23381-010,N,0.062MG/L,LC001,DS001,"4  1V  I L  L  A  GEL  AN  E, U  NI T",3  2  6
9/26/2017,RT,LEAD,1030,1709-23381-001,Y,,LC001,DS001,3 96  4B  OL  T  ONAC  CE  SS,RD
9/26/2017,RT,LEAD,1030,1709-23381-002,N,0.051MG/L,LC001,DS001,SK  IPA  T  ROL,
9/26/2017,RT,LEAD,1030,1709-23381-003,N,0.0020MG/L,LC001,DS001,S  P  ORT  SCE  NT  E  RK  I TC  H,E  N
9/26/2017,RT,LEAD,1030,1709-23381-004,Y,,LC001,DS001,SP  ORT  S  MEN  SB  A  THSI N  K,
9/26/2017,RT,LEAD,1030,1709-23381-005,Y,,LC001,DS001,B  UDE  L  ISI N  K,
9/26/2017,RT,LEAD,1030,1709-23381-006,N,0.0822MG/L,LC001,DS001,1  3  0S  P  ORTC  EN  TE  RS  I N,K
9/26/2017,RT,LEAD,1030,1709-23381-009,Y,,LC001,DS001,19  2WE  NT  WORT  H,
9/26/2017,RT,LEAD,1030,1709-23381-010,Y,,LC001,DS001,"4  1VI L  L  A  GEL  AN  E, U  NI T",3  2  6
9/25/2017,RT,"COPPER, FREE",1022,1709-23381-007,N,0.15MG/L,LC001,DS001,J AME  SMOORET  AV  E  RN,
9/25/2017,RT,LEAD,1030,1709-23381-007,Y,,LC001,DS001,SJAINMKE  SMOOR  ET  A  VE  RN,
7/11/2017,SP,"COPPER, FREE",1022,1707-15376-003,Y,,RW006,WL006,JSOININKERBR  OOKSO  URC  E,
"",,,,,,,,,PRIMARY & SECONDARY IO,
7/11/2017,SP,LEAD,1030,1707-15376-003,Y,,RW006,WL006,JOINER BROOK SOURCE,
"",,,,,,,,,PRIMARY & SECONDARY IO,
7/10/2017,SP,"COPPER, FREE",1022,1707-15146-003,Y,,RW006,WL006,EAST RIVER SOURCE,
"",,,,,,,,,PRIMARY & SECONDARY IN,
7/10/2017,SP,LEAD,1030,1707-15146-003,Y,,RW006,WL006,EAST RIVER SOURCE,
"",,,,,,,,,PRIMARY & SECONDARY IN,
6/29/2016,RT,"COPPER, FREE",1022,1606-13699-009,N,0.092MG/L,LC001,DS001,192 WENTWORTH,
6/29/2016,RT,"COPPER, FREE",1022,1606-13699-010,N,0.095MG/L,LC001,DS001,4  1V  I L  L  A  GEL  AN  EU  NI T,3  2  6
6/29/2016,RT,LEAD,1030,1606-13699-009,Y,,LC001,DS001,1 92WE  NT  WORT  H,
6/29/2016,RT,LEAD,1030,1606-13699-010,Y,,LC001,DS001,4  1V  I L  L  A  GEL  AN  EU  NI T,3  2  6
6/16/2016,RT,"COPPER, FREE",1022,1606-13699-001,N,0.33MG/L,LC001,DS001,3  9  6  4B  OL  T  ONAC  CE  SS,RD
6/16/2016,RT,LEAD,1030,1606-13699-001,Y,,LC001,DS001,3  96 4B  OL  T  ONAC  CE  SS,RD
6/14/2016,RT,"COPPER, FREE",1022,1606-13699-002,N,0.64MG/L,LC001,DS001,S  K  IPA  T  ROL,
6/14/2016,RT,"COPPER, FREE",1022,1606-13699-003,N,0.18MG/L,LC001,DS001,S  P  ORT  S  MENMEN  ' SBA  T  H,
