Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
9/13/2017,RT,"COPPER, FREE",1022,17-IB-00816-001,Y,,LC001,DS001,SUNDOWN 4 KITCHEN ^
9/13/2017,RT,"COPPER, FREE",1022,17-IB-00817-001,N,0.04MG/L,LC001,DS001,SCUHGRIASRTBMUASSH T ARCECEE 2S ^S  RD
9/13/2017,RT,"COPPER, FREE",1022,17-IB-00818-001,N,0.05MG/L,LC001,DS001,SSUUNGDAORBWUNS 1H6 A KCITCCEHSESN R ^D
9/13/2017,RT,"COPPER, FREE",1022,17-IB-00819-001,N,0.04MG/L,LC001,DS001,SSUUGNDAORBWUNS 8H  KAICTCCHEESNS  R^ D
9/13/2017,RT,"COPPER, FREE",1022,17-IB-00820-001,N,0.04MG/L,LC001,DS001,SCUHGRIASRTBMUASSH T ARCECEE 2S0S ^  RD
9/13/2017,RT,LEAD,1030,17-IB-00816-001,Y,,LC001,DS001,SSUUGNDAORBWUNS 4H  KAICTCCHEESNS  R^ D
9/13/2017,RT,LEAD,1030,17-IB-00817-001,N,0.005MG/L,LC001,DS001,CSUHGRIASRTBMUASSH T ARCECEE 2S ^S  RD
9/13/2017,RT,LEAD,1030,17-IB-00818-001,N,0.002MG/L,LC001,DS001,SSUUGNDAORBWUNS 1H6 A KCITCCEHSESN R ^D
9/13/2017,RT,LEAD,1030,17-IB-00819-001,N,0.001MG/L,LC001,DS001,SSUUNGDAORBWUNS 8H  KAICTCCHEESNS  R^ D
9/13/2017,RT,LEAD,1030,17-IB-00820-001,N,0.012MG/L,LC001,DS001,CSUHGRIASRTBMUASSH T ARCECEE 2S0S ^  RD
9/8/2016,RT,"COPPER, FREE",1022,16-IB-00638-001,N,0.11MG/L,LC001,DS001,SCUHGRIASRTBMUASSH T ARCECEE 2S ^S  RD
9/8/2016,RT,"COPPER, FREE",1022,16-IB-00639-001,N,0.06MG/L,LC001,DS001,SSUUNGDAORBWUNS 1H6 A ^C CESS RD
9/8/2016,RT,"COPPER, FREE",1022,16-IB-00640-001,N,0.03MG/L,LC001,DS001,SCUHGRIASRTBMUASSH T ARCECEE #S2S0  R^ D
9/8/2016,RT,"COPPER, FREE",1022,16-IB-00641-001,N,0.05MG/L,LC001,DS001,SSUUNGDAORBWUNS 8H  ^A SCUCGEASRSB RUDS  H
9/8/2016,RT,"COPPER, FREE",1022,16-IB-00642-001,Y,,LC001,DS001,ASUCCNDESOSW RND 4^SU  GA  RB  US  H
9/8/2016,RT,LEAD,1030,16-IB-00638-001,N,0.011MG/L,LC001,DS001,ACCHCREISSTSM RADST  R  EE2^
9/8/2016,RT,LEAD,1030,16-IB-00639-001,N,0.002MG/L,LC001,DS001,SSUUGNDAORBWUNS 1H6 A ^C CESS RD
9/8/2016,RT,LEAD,1030,16-IB-00640-001,N,0.002MG/L,LC001,DS001,CSUHGRIASRTBMUASSH T ARCECEE #S2S0  R^ D
9/8/2016,RT,LEAD,1030,16-IB-00641-001,N,0.002MG/L,LC001,DS001,SSUUNGDAORBWUNS 8H  ^A SCUCGEASRSB RUDS  H
9/8/2016,RT,LEAD,1030,16-IB-00642-001,Y,,LC001,DS001,SACUNCDESOSW RND 4^SU  GA  RB  US  H
9/9/2015,RT,"COPPER, FREE",1022,15-IB-00539-001,Y,,LC001,DS001,SAUCNCDESOSW RND # 4^
9/9/2015,RT,LEAD,1030,15-IB-00539-001,Y,,LC001,DS001,SSUUGNDAORBWUNS #H4 A ^C CESS RD
9/8/2015,RT,"COPPER, FREE",1022,15-IB-00538-001,N,0.02MG/L,LC001,DS001,SCUHGRIASRTBMUASSH T ARCECEE #S2S0  R^ D
9/8/2015,RT,"COPPER, FREE",1022,15-IB-00540-001,N,0.05MG/L,LC001,DS001,SSUUGNDAORBWUNS #H1 A6 C^ CESS RD
9/8/2015,RT,"COPPER, FREE",1022,15-IB-00541-001,N,0.04MG/L,LC001,DS001,SSUUNGDAORBWUNS #H8 A ^C CESS RD
9/8/2015,RT,"COPPER, FREE",1022,15-IB-00542-001,N,0.02MG/L,LC001,DS001,CSUHGRIASRTBMUASSH T ARCECEE #S2S0  R^ D
9/8/2015,RT,LEAD,1030,15-IB-00538-001,N,0.001MG/L,LC001,DS001,SCUHGRIASRTBMUASSH T ARCECEE #S2S0  R^ D
9/8/2015,RT,LEAD,1030,15-IB-00540-001,N,0.002MG/L,LC001,DS001,SSUUGNDAORBWUNS #H1 A6 C^ CESS RD
9/8/2015,RT,LEAD,1030,15-IB-00541-001,N,0.001MG/L,LC001,DS001,SSUUGNDAORBWUNS #H8 A ^C CESS RD
9/8/2015,RT,LEAD,1030,15-IB-00542-001,N,0.002MG/L,LC001,DS001,CSUHGRIASRTBMUASSH T ARCECEE #S2S0  R^ D
9/16/2014,RT,"COPPER, FREE",1022,14-IB-00382-001,N,0.03MG/L,LC001,DS001,SCUHGRIASRTBMUASSH T ARCECEE 2S0S ^  RD
9/16/2014,RT,"COPPER, FREE",1022,14-IB-00383-001,N,0.03MG/L,LC001,DS001,CSUHGRIASRTBMUASSH T ARCECEE #S2S ^  RD
9/16/2014,RT,"COPPER, FREE",1022,14-IB-00384-001,N,0.05MG/L,LC001,DS001,SSUUGNDAORBWUNS 1H6 A ^C CESS RD
9/16/2014,RT,"COPPER, FREE",1022,14-IB-00385-001,N,0.05MG/L,LC001,DS001,SSUUNGDAORBWUNS 8H  ^A SCUCGEASRSB RUDS  H
