Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
7/10/2017,RT,"COPPER, FREE",1022,1707-15227-001,N,0.023MG/L,LC001,DS001,"WSID 5573, #1247"
7/10/2017,RT,"COPPER, FREE",1022,1707-15227-002,N,0.72MG/L,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  6  1"
7/10/2017,RT,"COPPER, FREE",1022,1707-15227-003,N,0.046MG/L,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  3  6"
7/10/2017,RT,"COPPER, FREE",1022,1707-15227-004,N,0.55MG/L,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  3  7"
7/10/2017,RT,"COPPER, FREE",1022,1707-15227-005,N,0.021MG/L,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  1  7"
7/10/2017,RT,LEAD,1030,1707-15227-001,Y,,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  4  7"
7/10/2017,RT,LEAD,1030,1707-15227-002,Y,,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  6  1"
7/10/2017,RT,LEAD,1030,1707-15227-003,Y,,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  3  6"
7/10/2017,RT,LEAD,1030,1707-15227-004,Y,,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  3  7"
7/10/2017,RT,LEAD,1030,1707-15227-005,Y,,LC001,DS001,"WS  I D5  5  7  3  ,#  1  2  1  7"
9/30/2015,SP,"COPPER, FREE",1022,1510-21293-001,N,0.37MG/L,LC001,DS001,"WS  I D5  5  7  3  , GO  DL  E  Y"
9/30/2015,SP,LEAD,1030,1510-21293-001,Y,,LC001,DS001,"WHOSUIDS 5E5,M73A,PGLOED SLTEAYF F SINK,"
7/17/2014,RT,"COPPER, FREE",1022,1407-14037-001,N,0.92MG/L,LC001,DS001,"WHOSUIDS 5E5,M73A,P 1L2E6 1S TSAPFRFIN SGIN K,"
7/17/2014,RT,"COPPER, FREE",1022,1407-14037-002,N,0.83MG/L,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2S3A7R SCPKRAI NG"
7/17/2014,RT,"COPPER, FREE",1022,1407-14037-003,N,0.58MG/L,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2P3A6R SKP ARVINEG"
7/17/2014,RT,"COPPER, FREE",1022,1407-14037-004,N,0.64MG/L,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2X1L7S  PR  I NG"
7/17/2014,RT,"COPPER, FREE",1022,1407-14037-005,N,0.82MG/L,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2M4A7T SLPERSISN  G"
7/17/2014,RT,LEAD,1030,1407-14037-001,Y,,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2B6L1A CSPKR AISNHG"
7/17/2014,RT,LEAD,1030,1407-14037-002,Y,,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2S3A7R SCPKRAI NG"
7/17/2014,RT,LEAD,1030,1407-14037-003,N,0.003MG/L,LC001,DS001,"LWASKIDE  R55O7A3D, 1, 2P3A6R SKP ARVINEG"
7/17/2014,RT,LEAD,1030,1407-14037-004,N,0.003MG/L,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2X1L7S  PR  I NG"
7/17/2014,RT,LEAD,1030,1407-14037-005,N,0.002MG/L,LC001,DS001,"WLASKIDE  R55O7A3D, 1, 2M4A7T SLPERSISN  G"
8/9/2011,RT,"COPPER, FREE",1022,IN36509,N,0.16MG/L,LC001,DS001,"LMAAKTEL ERSOSA-MD,A BINL AHCOKU ASSEH"
8/9/2011,RT,LEAD,1030,IN36509,Y,,LC001,DS001,MSYASTTLEEMSS- MA  I NH  OUS  E
8/8/2011,RT,"COPPER, FREE",1022,IN36512,N,0.58MG/L,LC001,DS001,PSYASRTKE AMV EE  L  L  I OTS  YS
8/8/2011,RT,"COPPER, FREE",1022,IN36515,N,0.54MG/L,LC001,DS001,SA  RK  AE  L  L  I OT  TSY  S  TE  M
8/8/2011,RT,"COPPER, FREE",1022,IN36518,N,0.51MG/L,LC001,DS001,X  L  - MA  I NHO  US  ES  YS  T  EM
8/8/2011,RT,"COPPER, FREE",1022,IN36521,N,0.15MG/L,LC001,DS001,BL  A  CKAS  H- MA  I NH  OUS  E
8/8/2011,RT,LEAD,1030,IN36512,Y,,LC001,DS001,PSYASRTKE AMV EE  L  L  I OTS  YS
8/8/2011,RT,LEAD,1030,IN36515,Y,,LC001,DS001,SA  RK  AE  L  L  I OT  TSY  S  TE  M
8/8/2011,RT,LEAD,1030,IN36518,Y,,LC001,DS001,X  L  - MA  I NHO  US  ES  YS  T  EM
8/8/2011,RT,LEAD,1030,IN36521,Y,,LC001,DS001,B  L  A  CKAS  H- MA  I NH  OUS  E
6/3/2008,RT,"COPPER, FREE",1022,IN25503,N,0.35MG/L,LC001,DS001,MSYASTTLEEMSS-1  2  1  7S  P  RI NG
6/3/2008,RT,"COPPER, FREE",1022,IN25520,N,0.94MG/L,LC001,DS001,XLALK - E1 2R3D6S  PR  I NGL  AK  ER  D
