Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
8/16/2017,RT,"COPPER, FREE",1022,1708-19384-001,N,0.12MG/L,LC001,DS001,"WSID 20618, OFFICE",
8/16/2017,RT,"COPPER, FREE",1022,1708-19384-002,N,0.19MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  9",
8/16/2017,RT,"COPPER, FREE",1022,1708-19384-003,N,0.87MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  1  0",
8/16/2017,RT,"COPPER, FREE",1022,1708-19384-004,N,0.23MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  1  8",
8/16/2017,RT,"COPPER, FREE",1022,1708-19384-005,N,0.22MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  2  1",
8/16/2017,RT,LEAD,1030,1708-19384-001,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,OF  F  I CE",
8/16/2017,RT,LEAD,1030,1708-19384-002,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  9",
8/16/2017,RT,LEAD,1030,1708-19384-003,N,0.0011MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  1  0",
8/16/2017,RT,LEAD,1030,1708-19384-004,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  1  8",
8/16/2017,RT,LEAD,1030,1708-19384-005,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  2  1",
9/6/2016,RT,"COPPER, FREE",1022,1609-19833-001,N,0.27MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  7",
9/6/2016,RT,"COPPER, FREE",1022,1609-19833-002,N,0.22MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  9",
9/6/2016,RT,"COPPER, FREE",1022,1609-19833-003,N,0.22MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  1  8",
9/6/2016,RT,"COPPER, FREE",1022,1609-19833-004,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,OF  F  I CE",
9/6/2016,RT,"COPPER, FREE",1022,1609-19833-005,N,0.19MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,#  1  0",
9/6/2016,RT,LEAD,1030,1609-19833-001,N,0.002MG/L,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  7",
9/6/2016,RT,LEAD,1030,1609-19833-002,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  9",
9/6/2016,RT,LEAD,1030,1609-19833-003,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,A  PT#  1  8",
9/6/2016,RT,LEAD,1030,1609-19833-004,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,OF  F  I CE",
9/6/2016,RT,LEAD,1030,1609-19833-005,Y,,LC001,DS001,"WS  I D2  0  6  1  8  ,#  1  0",
5/31/2016,RT,"COPPER, FREE",1022,1606-11033-002,N,0.38MG/L,LC001,DS001,WS  I D2  0  6  1  8A  PT3,
5/31/2016,RT,"COPPER, FREE",1022,1606-11033-003,N,0.27MG/L,LC001,DS001,WS  I D2  0  6  1  8A  PT7,
5/31/2016,RT,"COPPER, FREE",1022,1606-11033-004,N,0.29MG/L,LC001,DS001,WS  I D2  0  6  1  8A  PT1  0,
5/31/2016,RT,LEAD,1030,1606-11033-002,Y,,LC001,DS001,WS  I D2  0  6  1  8A  PT3,
5/31/2016,RT,LEAD,1030,1606-11033-003,N,0.002MG/L,LC001,DS001,WS  I D2  0  6  1  8A  PT7,
5/31/2016,RT,LEAD,1030,1606-11033-004,N,0.002MG/L,LC001,DS001,WS  I D2  0  6  1  8A  PT1  0,
5/30/2016,RT,"COPPER, FREE",1022,1606-11033-001,N,0.088MG/L,LC001,DS001,WS  I D2  0  6  1  8OF  F  I CES  I NK,
5/30/2016,RT,"COPPER, FREE",1022,1606-11033-005,N,0.19MG/L,LC001,DS001,WS  I D2  0  6  1  8A  PT1  8,
5/30/2016,RT,LEAD,1030,1606-11033-001,Y,,LC001,DS001,WS  I D2  0  6  1  8OF  F  I CES  I NK,
5/30/2016,RT,LEAD,1030,1606-11033-005,Y,,LC001,DS001,WS  I D2  0  6  1  8A  PT1  8,
5/19/2014,SP,"COPPER, FREE",1022,1405-09088-003,Y,,RW002,WL002,B  R  ONE  WWE  L  LPR  I MAR  Y,&
"",,,,,,,,,SECONDARY INORGANIC C,
5/19/2014,SP,LEAD,1030,1405-09088-003,Y,,RW002,WL002,BRO NEW WELL PRIMARY &,
"",,,,,,,,,SECONDARY INORGANIC C,
8/5/2013,RT,"COPPER, FREE",1022,1308-14610-001,N,0.38MG/L,LC001,DS001,"WSID 20618, UNIT 4",
