Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
9/1/2015,RT,"COPPER, FREE",1022,1509-18607-001,Y,,LC001,DS001,"WSID 5490, 115 GREENE"
9/1/2015,RT,"COPPER, FREE",1022,1509-18607-002,N,0.027MG/L,LC001,DS001,"HWISLLID5  4  9  0  ,1  1  6GRE  E  NE"
9/1/2015,RT,"COPPER, FREE",1022,1509-18607-003,Y,,LC001,DS001,"HWISLLID5  4  9  0  ,2  0  0GRE  E  NE"
9/1/2015,RT,"COPPER, FREE",1022,1509-18607-004,Y,,LC001,DS001,"WHISLLID5  4  9  0  ,2  0  5GRE  E  NE"
9/1/2015,RT,"COPPER, FREE",1022,1509-18607-005,Y,,LC001,DS001,"HWISLLID5  4  9  0  ,8  7GRE  E  NEHI L  L"
9/1/2015,RT,LEAD,1030,1509-18607-001,Y,,LC001,DS001,"WS  I D5  4  9  0  ,1  1  5GR  EE  NE"
9/1/2015,RT,LEAD,1030,1509-18607-002,Y,,LC001,DS001,"HWISLLID5  4  9  0  ,1  1  6GRE  E  NE"
9/1/2015,RT,LEAD,1030,1509-18607-003,Y,,LC001,DS001,"WHISLLID5  4  9  0  ,2  0  0GRE  E  NE"
9/1/2015,RT,LEAD,1030,1509-18607-004,Y,,LC001,DS001,"HWISLLID5  4  9  0  ,2  0  5GRE  E  NE"
9/1/2015,RT,LEAD,1030,1509-18607-005,Y,,LC001,DS001,"HWISLLID5  4  9  0  ,8  7GRE  E  NEHI L  L"
6/4/2012,RT,"COPPER, FREE",1022,1206-07619-001,Y,,LC001,DS001,1 16  - K  I T
6/4/2012,RT,"COPPER, FREE",1022,1206-07619-002,Y,,LC001,DS001,1 6  1- K  I T
6/4/2012,RT,"COPPER, FREE",1022,1206-07619-003,Y,,LC001,DS001,1  3  8  - K  I T
6/4/2012,RT,"COPPER, FREE",1022,1206-07619-004,Y,,LC001,DS001,1  9  7 -  K  I T
6/4/2012,RT,"COPPER, FREE",1022,1206-07619-005,Y,,LC001,DS001,55  - K  I T
6/4/2012,RT,LEAD,1030,1206-07619-001,Y,,LC001,DS001,1  16 -  K  I T
6/4/2012,RT,LEAD,1030,1206-07619-002,Y,,LC001,DS001,1  6  1 -  K  I T
6/4/2012,RT,LEAD,1030,1206-07619-003,Y,,LC001,DS001,13  8  - K  I T
6/4/2012,RT,LEAD,1030,1206-07619-004,Y,,LC001,DS001,1  97  - K  I T
6/4/2012,RT,LEAD,1030,1206-07619-005,Y,,LC001,DS001,5  5  -  K  I T
6/7/2009,RT,"COPPER, FREE",1022,0906-07707001,Y,,LC001,DS001,L  O  T3
6/7/2009,RT,"COPPER, FREE",1022,0906-07707002,Y,,LC001,DS001,L  O  T5
6/7/2009,RT,"COPPER, FREE",1022,0906-07707003,Y,,LC001,DS001,L  O  T9
6/7/2009,RT,"COPPER, FREE",1022,0906-07707004,Y,,LC001,DS001,L  O  T1  2
6/7/2009,RT,"COPPER, FREE",1022,0906-07707005,Y,,LC001,DS001,L  O  T1  5
6/7/2009,RT,LEAD,1030,0906-07707001,Y,,LC001,DS001,L  O  T3
6/7/2009,RT,LEAD,1030,0906-07707002,Y,,LC001,DS001,L  O  T5
6/7/2009,RT,LEAD,1030,0906-07707003,Y,,LC001,DS001,L  OT9
6/7/2009,RT,LEAD,1030,0906-07707004,Y,,LC001,DS001,L  OT1  2
6/7/2009,RT,LEAD,1030,0906-07707005,Y,,LC001,DS001,L  O  T1  5
6/10/2006,RT,"COPPER, FREE",1022,0606-02865001,Y,,LC001,DS001,L  O  T3
6/10/2006,RT,"COPPER, FREE",1022,0606-02865002,Y,,LC001,DS001,L  OT5
6/10/2006,RT,"COPPER, FREE",1022,0606-02865003,N,0.04MG/L,LC001,DS001,L  OT9
6/10/2006,RT,"COPPER, FREE",1022,0606-02865004,Y,,LC001,DS001,LO  T1  2
