Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
9/22/2016,SP,"COPPER, FREE",1022,1609-21690-003,Y,,RW003,WL003,NEW  WELL ___ PRIMARY &
"",,,,,,,,,SECONDARY INORGANIC C
9/22/2016,SP,LEAD,1030,1609-21690-003,Y,,RW003,WL003,NEW  WELL ___ PRIMARY &
"",,,,,,,,,SECONDARY INORGANIC C
9/15/2016,RT,"COPPER, FREE",1022,1609-21056-001,N,0.092MG/L,LC001,DS001,CLARK APT SINK
9/15/2016,RT,"COPPER, FREE",1022,1609-21056-002,N,0.044MG/L,LC001,DS001,WI T  CH  ESHA  TAP  TSI N  K
9/15/2016,RT,"COPPER, FREE",1022,1609-21056-003,N,0.095MG/L,LC001,DS001,POU  NDCA  KEAP  TSI N  K
9/15/2016,RT,"COPPER, FREE",1022,1609-21056-004,N,0.10MG/L,LC001,DS001,OL  DGY  MS  TU  DE  NTCT  R
9/15/2016,RT,"COPPER, FREE",1022,1609-21056-005,N,0.094MG/L,LC001,DS001,SHIONBKA  RTB  AT  HR  OOMS  I NK
9/15/2016,RT,LEAD,1030,1609-21056-001,Y,,LC001,DS001,C  L  A  RKAP  TSI N  K
9/15/2016,RT,LEAD,1030,1609-21056-002,Y,,LC001,DS001,WI T  CH  ESHA  TAP  TSI N  K
9/15/2016,RT,LEAD,1030,1609-21056-003,Y,,LC001,DS001,POU  NDCA  KEAP  TSI N  K
9/15/2016,RT,LEAD,1030,1609-21056-004,Y,,LC001,DS001,OL  DGY  MS  TU  DE  NTCT  R
9/15/2016,RT,LEAD,1030,1609-21056-005,Y,,LC001,DS001,SHIONBKA  RTB  AT  HR  OOMS  I NK
8/21/2013,RT,"COPPER, FREE",1022,13-IC-02505-001,Y,,EP001,TP001,WI T  CH  ESHA  TPTOFE  NT  RY
8/21/2013,RT,LEAD,1030,13-IC-02505-001,Y,,EP001,TP001,OWFIT DCIHSETSR UHBATTI OPNT  O^ 3F2 E1N MTORUY
8/20/2013,RT,"COPPER, FREE",1022,13-IB-00518-001,N,0.04MG/L,LC001,DS001,OHOF BDAISRTTR BUABTTHIO SNIN ^K 3 ^2 12 7M1O U
8/20/2013,RT,"COPPER, FREE",1022,13-IB-00519-001,N,0.06MG/L,LC001,DS001,SMPOOURLTTSO NC ERNOTAEDRK  I T  CH  EN
8/20/2013,RT,"COPPER, FREE",1022,13-IB-00520-001,Y,,LC001,DS001,WSIINTKC H^ E31S1 H MAOT UKLITTCOHNE RNO AD
8/20/2013,RT,"COPPER, FREE",1022,13-IB-00521-001,N,0.04MG/L,LC001,DS001,CSILNAKR ^K  3H2O1 UMSOEU KLITTOCNH ERNO AD
8/20/2013,RT,"COPPER, FREE",1022,13-IB-00522-001,Y,,LC001,DS001,SPIONNKD ^  L3A8K7 EM KOIUTCLTHOENN  RSOINAKD ^
8/20/2013,RT,LEAD,1030,13-IB-00518-001,Y,,LC001,DS001,2H5O5B MAORTU LBTAOTNH  RSOINAKD ^2  7  1
8/20/2013,RT,LEAD,1030,13-IB-00519-001,N,0.001MG/L,LC001,DS001,MSPOOURLTTSO NC ERNOTAEDRK  I T  CH  EN
8/20/2013,RT,LEAD,1030,13-IB-00520-001,Y,,LC001,DS001,WSIINTKC H^ E31S1 H MAOT UKLITTCOHNE RNO AD
8/20/2013,RT,LEAD,1030,13-IB-00521-001,Y,,LC001,DS001,CSILNAKR ^K  3H2O1 UMSOEU KLITTOCNH ERNO AD
8/20/2013,RT,LEAD,1030,13-IB-00522-001,Y,,LC001,DS001,PSIONNKD ^  L3A8K7 EM KOIUTCLTHOENN  RSOINAKD ^
9/3/2010,RT,"COPPER, FREE",1022,11C0481,Y,,EP001,TP001,2W5I5T CMHOEUSL THOANTR  OAD
9/3/2010,RT,LEAD,1030,11C0481,Y,,EP001,TP001,WI T  CH  ESHA  T
9/1/2010,RT,"COPPER, FREE",1022,11I0256,N,0.05MG/L,LC001,DS001,C  L  A  RK
9/1/2010,RT,"COPPER, FREE",1022,11I0257,N,0.04MG/L,LC001,DS001,POU  NDCA  KE
9/1/2010,RT,"COPPER, FREE",1022,11I0258,N,0.03MG/L,LC001,DS001,WI T  CH  ESHA  T
9/1/2010,RT,"COPPER, FREE",1022,11I0259,N,0.10MG/L,LC001,DS001,S  P  ORT  SCE  NT  E  R
9/1/2010,RT,"COPPER, FREE",1022,11I0260,N,0.05MG/L,LC001,DS001,H  OB  AR  T
9/1/2010,RT,LEAD,1030,11I0256,N,0.001MG/L,LC001,DS001,CL  A  RK
9/1/2010,RT,LEAD,1030,11I0257,N,0.001MG/L,LC001,DS001,POU  NDCA  KE
