Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
6/1/2016,RT,"COPPER, FREE",1022,16-IB-00441-001,N,0.06MG/L,LC001,DS001,SAMPLE #5/ 5TH GRADE
6/1/2016,RT,"COPPER, FREE",1022,16-IB-00442-001,N,0.06MG/L,LC001,DS001,SCALAMSPSLREM # 4^/  133R5D R GTR 3A0DE
6/1/2016,RT,"COPPER, FREE",1022,16-IB-00443-001,N,0.05MG/L,LC001,DS001,SCALAMSPSLREM # 3^/  1G3R5A RDTE 3 10
6/1/2016,RT,"COPPER, FREE",1022,16-IB-00444-001,N,0.04MG/L,LC001,DS001,CSALAMSPSLREM # 1^/  1K3IT5 CRHTE 3N0  ^1  3  5
6/1/2016,RT,"COPPER, FREE",1022,16-IB-00445-001,N,0.06MG/L,LC001,DS001,SRAT M30P L  E#  2  /GRA  DE2
6/1/2016,RT,LEAD,1030,16-IB-00441-001,Y,,LC001,DS001,SCALAMSPSLREM # 5^/  153T5H R GTR 3A0D  E
6/1/2016,RT,LEAD,1030,16-IB-00442-001,Y,,LC001,DS001,CSALAMSPSLREM # 4^/  133R5D R GTR 3A0DE
6/1/2016,RT,LEAD,1030,16-IB-00443-001,Y,,LC001,DS001,SCALAMSPSLREM # 3^/  1G3R5A RDTE 3 10
6/1/2016,RT,LEAD,1030,16-IB-00444-001,Y,,LC001,DS001,SCALAMSPSLREM # 1^/  1K3IT5 CRHTE 3N0  ^1  3  5
6/1/2016,RT,LEAD,1030,16-IB-00445-001,Y,,LC001,DS001,SRAT M3P0 L  E#  2  /GRA  DE2
1/12/2016,RT,"COPPER, FREE",1022,16-IC-00011-001,Y,,EP002,TP001,CENLATSRSYR PMO ^IN 1T3 5T OR T 30
1/12/2016,RT,LEAD,1030,16-IC-00011-001,Y,,EP002,TP001,DENISTTRRYIB PUOTIINOTN T ^O 1 35 RT 30
6/12/2013,RT,"COPPER, FREE",1022,13-IB-00331-001,N,0.03MG/L,LC001,DS001,KDIITSCTRHIEBNU TSIIONNK/ S^ A1M35P RLET  13 0^
6/12/2013,RT,"COPPER, FREE",1022,13-IB-00332-001,N,0.02MG/L,LC001,DS001,1G3R5A RDTE  320 SI N  K/ S  AMP  L  E2^
6/12/2013,RT,"COPPER, FREE",1022,13-IB-00333-001,N,0.04MG/L,LC001,DS001,1G3R5A RDTE  310 SI N  K/ S  AMP  L  E3^
6/12/2013,RT,"COPPER, FREE",1022,13-IB-00334-001,N,0.04MG/L,LC001,DS001,G13R5A RDTE  330/ S  A  MPL  E4^1  3  5
6/12/2013,RT,"COPPER, FREE",1022,13-IB-00335-001,N,0.04MG/L,LC001,DS001,RGTR A30D E3  /  S  A  MPL  E5^1  3  5
6/12/2013,RT,LEAD,1030,13-IB-00331-001,Y,,LC001,DS001,RKITT C30H ENSI N  K/ S  AMP  L  E1^
6/12/2013,RT,LEAD,1030,13-IB-00332-001,Y,,LC001,DS001,1G3R5A RDTE  320 SI N  K/ S  AMP  L  E2^
6/12/2013,RT,LEAD,1030,13-IB-00333-001,Y,,LC001,DS001,G13R5A RDTE  310  S  I N  K/ S  AMP  L  E3^
6/12/2013,RT,LEAD,1030,13-IB-00334-001,Y,,LC001,DS001,1G3R5A RDTE  330/SA  MPL  E4^1  3  5
6/12/2013,RT,LEAD,1030,13-IB-00335-001,Y,,LC001,DS001,GRTR A30D E3  / SA  MPL  E5^1  3  5
2/12/2013,RT,"COPPER, FREE",1022,13-IC-00058-001,N,0.03MG/L,EP002,TP001,RENT T3R0YT  OD  I ST  RI B  UT  I ON^
2/12/2013,RT,LEAD,1030,13-IC-00058-001,Y,,EP002,TP001,1E3N5T RRTY  3T0OD  I ST  RI B  UT  I ON^
7/16/2010,RT,"COPPER, FREE",1022,11I0043,N,0.05MG/L,LC001,DS001,"#153 5G RRTA 3D0E5"
7/16/2010,RT,"COPPER, FREE",1022,11I0044,N,0.06MG/L,LC001,DS001,"#  4GRA  DE3"
7/16/2010,RT,"COPPER, FREE",1022,11I0045,N,0.04MG/L,LC001,DS001,AK  I T  CHE  N#  1
7/16/2010,RT,"COPPER, FREE",1022,11I0046,N,0.06MG/L,LC001,DS001,"#  31  STGR  AD  E"
7/16/2010,RT,"COPPER, FREE",1022,11I0051,N,0.03MG/L,LC001,DS001,"#  22  NDG  RA  DE"
7/16/2010,RT,LEAD,1030,11I0043,Y,,LC001,DS001,"#  5G  RA  DE5"
7/16/2010,RT,LEAD,1030,11I0044,Y,,LC001,DS001,"#  4G  RA  DE3"
7/16/2010,RT,LEAD,1030,11I0045,Y,,LC001,DS001,AK  I T  CHE  N#  1
7/16/2010,RT,LEAD,1030,11I0046,Y,,LC001,DS001,"# 31  STGR  AD  E"
7/16/2010,RT,LEAD,1030,11I0051,Y,,LC001,DS001,"# 22  N  DG  RA  DE"
