Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-001,N,0.046MG/L,LC001,DS001,WSID 6070 ADULT,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-002,N,0.11MG/L,LC001,DS001,BWASTIDH R6O07O0M H  CBA  T  HR  OOM,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-003,N,0.041MG/L,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  3,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-004,N,0.066MG/L,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  2,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-005,N,0.061MG/L,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  1,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-006,N,0.34MG/L,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  1"
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-007,N,0.18MG/L,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  2"
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-008,N,0.040MG/L,LC001,DS001,WS  I D6  0  7  0B  OY  ' S#  1,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-009,N,0.049MG/L,LC001,DS001,WS  I D6  0  7  0GI R  L  ' SROOM,,
5/23/2017,RT,"COPPER, FREE",1022,1705-10816-010,N,0.048MG/L,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  3"
5/23/2017,RT,LEAD,1030,1705-10816-001,Y,,LC001,DS001,WS  I D6  0  7  0A  DU  L  T,,
5/23/2017,RT,LEAD,1030,1705-10816-002,Y,,LC001,DS001,BWASTIDH R6O07O0M H  CBA  T  HR  OOM,,
5/23/2017,RT,LEAD,1030,1705-10816-003,Y,,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  3,,
5/23/2017,RT,LEAD,1030,1705-10816-004,N,0.0011MG/L,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  2,,
5/23/2017,RT,LEAD,1030,1705-10816-005,Y,,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  1,,
5/23/2017,RT,LEAD,1030,1705-10816-006,Y,,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  1"
5/23/2017,RT,LEAD,1030,1705-10816-007,Y,,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  2"
5/23/2017,RT,LEAD,1030,1705-10816-008,Y,,LC001,DS001,WS  I D6  0  7  0B  OY  ' S#  1,,
5/23/2017,RT,LEAD,1030,1705-10816-009,Y,,LC001,DS001,WS  I D6  0  7  0GI R  L  ' SROOM,,
5/23/2017,RT,LEAD,1030,1705-10816-010,Y,,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  3"
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-001,N,0.040MG/L,LC001,DS001,WS  I D6  0  7  0A  DU  L  T,,
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-002,N,0.021MG/L,LC001,DS001,WBASTIDH R6O07O0M B  O  Y'S#  2,,
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-003,N,0.059MG/L,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  3,,
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-004,N,0.033MG/L,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  2,,
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-005,N,0.030MG/L,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  1,,
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-006,N,0.14MG/L,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  1"
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-007,N,0.030MG/L,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  2"
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-008,N,0.033MG/L,LC001,DS001,WS  I D6  0  7  0B  OY  ' S#  1,,
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-009,N,0.044MG/L,LC001,DS001,WS  I D6  0  7  0GI R  L  ' SROOM,,
12/14/2016,RT,"COPPER, FREE",1022,1612-28259-010,N,0.036MG/L,LC001,DS001,WS  I D6  0  7  0C  L  AS  SR  OOM,,"#  3"
12/14/2016,RT,LEAD,1030,1612-28259-001,Y,,LC001,DS001,WS  I D6  0  7  0A  DU  L  T,,
12/14/2016,RT,LEAD,1030,1612-28259-002,Y,,LC001,DS001,BWASTIDH R6O07O0M B  O  Y'S#  2,,
12/14/2016,RT,LEAD,1030,1612-28259-003,Y,,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  3,,
12/14/2016,RT,LEAD,1030,1612-28259-004,Y,,LC001,DS001,WS  I D6  0  7  0K  I T  CHE  N#  2,,
