Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-001,N,0.092MG/L,LC001,DS001,"WSID 20508, A1",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-002,N,0.093MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,B  3",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-003,N,0.11MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,C  1",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-004,N,0.082MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,D  1",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-005,N,0.083MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,G1  0  3",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-006,N,0.096MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,H  2  0  2",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-007,N,0.18MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,H  2  0  3",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-008,N,0.080MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,I 1  0  1",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-009,N,0.11MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,I 1  0  3",,
9/21/2016,RT,"COPPER, FREE",1022,1609-21585-010,N,0.11MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,J  1  0  2",,
9/21/2016,RT,LEAD,1030,1609-21585-001,Y,,LC001,DS001,"WS  I D2  0  5  0  8  ,A  1",,
9/21/2016,RT,LEAD,1030,1609-21585-002,N,0.002MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,B  3",,
9/21/2016,RT,LEAD,1030,1609-21585-003,N,0.004MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,C  1",,
9/21/2016,RT,LEAD,1030,1609-21585-004,Y,,LC001,DS001,"WS  I D2  0  5  0  8  ,D  1",,
9/21/2016,RT,LEAD,1030,1609-21585-005,N,0.002MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,G1  0  3",,
9/21/2016,RT,LEAD,1030,1609-21585-006,N,0.003MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,H  2  0  2",,
9/21/2016,RT,LEAD,1030,1609-21585-007,N,0.004MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,H  2  0  3",,
9/21/2016,RT,LEAD,1030,1609-21585-008,Y,,LC001,DS001,"WS  I D2  0  5  0  8  ,I 1  0  1",,
9/21/2016,RT,LEAD,1030,1609-21585-009,N,0.001MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,I 1  0  3",,
9/21/2016,RT,LEAD,1030,1609-21585-010,N,0.004MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,J  1  0  2",,
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-001,N,0.026MG/L,LC001,DS001,"WS  I D2  0  5  0  8  ,B  UI L  D  I NG",,"A  ,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-002,N,0.20MG/L,LC001,DS001,"UWNSIITD  12 05  0 8,  BU  I L  DI NG",,"B,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-003,N,0.037MG/L,LC001,DS001,"UWNSIITD 3 2  0  5 08 ,BU  I L  DI NG",,"C,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-004,N,0.036MG/L,LC001,DS001,"UWNSIITD  12  0 50 8,B  U  I L  DI NG",,"D,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-005,Y,,LC001,DS001,"WUNSIITD 2 2 0  50 8  ,BU  I L  DI NG",,"G,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-006,N,0.041MG/L,LC001,DS001,"WUNSIITD 1 20035  0 8,  BU  I L  DI NG",,"H,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-007,Y,,LC001,DS001,"WUNSIITD 2 20025  0 8  ,B  U  I L  DI NG",,"H,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-008,N,0.037MG/L,LC001,DS001,"UWNSIITD  220035 08  ,B  U  I L  DI NG",,"I ,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-009,N,0.027MG/L,LC001,DS001,"UWNSIITD 1 20015 0  8,  BU  I L  DI NG",,"I ,"
8/5/2013,RT,"COPPER, FREE",1022,1308-14533-010,N,0.024MG/L,LC001,DS001,"UWNSIITD  120035  0  8 ,BU  I L  DI NG",,"J  ,"
8/5/2013,RT,LEAD,1030,1308-14533-001,Y,,LC001,DS001,"WUNSIITD  120025  0 8  ,B  U  I L  DI NG",,"A,"
8/5/2013,RT,LEAD,1030,1308-14533-002,Y,,LC001,DS001,"WUNSIITD  12  0 5  0  8  ,B  U  I L  DI NG",,"B,"
8/5/2013,RT,LEAD,1030,1308-14533-003,Y,,LC001,DS001,"UWNSIITD 3 2 05  0 8,B  U  I L  DI NG",,"C,"
8/5/2013,RT,LEAD,1030,1308-14533-004,Y,,LC001,DS001,"WUNSIITD 1 2  0 50 8  ,BU  I L  DI NG",,"D,"
