Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
7/13/2017,RT,"COPPER, FREE",1022,171003.01,N,0.25MG/L,LC001,DS001,PARENT COTTAGE,
7/13/2017,RT,"COPPER, FREE",1022,171003.02,N,0.63MG/L,LC001,DS001,KWIHTCEHEELENR S GINYKMKI T  C  HE  N,
7/13/2017,RT,"COPPER, FREE",1022,171003.03,N,0.56MG/L,LC001,DS001,MSIANTKH  EYB  UI L  DI N  G,
7/13/2017,RT,"COPPER, FREE",1022,171003.04,N,0.45MG/L,LC001,DS001,KTHITOCMHAESN  BSUINILKD  I NG,
7/13/2017,RT,"COPPER, FREE",1022,171003.05,N,0.61MG/L,LC001,DS001,IKNITFCIRHMEANR SYI NAKTH  UB  BA  RD,
7/13/2017,RT,"COPPER, FREE",1022,171003.06,N,0.32MG/L,LC001,DS001,TCUORTRTAEGLLE C KOITTCTHAEGNE  SINK,
7/13/2017,RT,"COPPER, FREE",1022,171003.07,N,0.38MG/L,LC001,DS001,KMIOTCRHREISNO SNI NCKO TT  A  GE,
7/13/2017,RT,"COPPER, FREE",1022,171003.08,N,0.69MG/L,LC001,DS001,BKIUTTCLHEERN C SOINTKTAG  EK  I T  CH,E  N
7/13/2017,RT,"COPPER, FREE",1022,171003.09,N,0.49MG/L,LC001,DS001,MSIANYKOS  CH  OOLB  UI L  D  I NG,
7/13/2017,RT,"COPPER, FREE",1022,171003.1,N,0.75MG/L,LC001,DS001,DWEAERPN SEIRN KC OT  T  A  GE,
7/13/2017,RT,LEAD,1030,171003.01,Y,,LC001,DS001,K PIATCRHEENNT  CSIONTKT  A  GE,
7/13/2017,RT,LEAD,1030,171003.02,N,0.003MG/L,LC001,DS001,KWIHTCEHELEENR S GINYKMKI T  C  HE  N,
7/13/2017,RT,LEAD,1030,171003.03,N,0.002MG/L,LC001,DS001,SMIANTKH  EYB  UI L  DI N  G,
7/13/2017,RT,LEAD,1030,171003.04,N,0.005MG/L,LC001,DS001,KTHITOCMHAESN  BSUINILKD  I NG,
7/13/2017,RT,LEAD,1030,171003.05,N,0.01MG/L,LC001,DS001,KINITFCIRHMEANR SYI NAKTH  UB  BA  RD,
7/13/2017,RT,LEAD,1030,171003.06,Y,,LC001,DS001,CTUORTRTAEGLLE C KOITTCTHAEGNE  SINK,
7/13/2017,RT,LEAD,1030,171003.07,Y,,LC001,DS001,MKIOTCRHREISNO SNI NCKO TT  A  GE,
7/13/2017,RT,LEAD,1030,171003.08,Y,,LC001,DS001,KBUITTCLHEERN C SOINTKTAG  EK  I T  CH,E  N
7/13/2017,RT,LEAD,1030,171003.09,N,0.003MG/L,LC001,DS001,SMIANYKOS  CH  OOLB  UI L  D  I NG,
7/13/2017,RT,LEAD,1030,171003.1,Y,,LC001,DS001,DWEAERPN SEIRN KC OT  T  A  GE,
1/12/2017,RT,"COPPER, FREE",1022,164728.01,N,0.62MG/L,LC001,DS001,KPAITRCEHNETN C SOINTKT A  GE,
1/12/2017,RT,"COPPER, FREE",1022,164728.02,N,0.68MG/L,LC001,DS001,KWIHTCEHELEENR S GINYKMKI T  C  HE  N,
1/12/2017,RT,"COPPER, FREE",1022,164728.03,N,0.55MG/L,LC001,DS001,MSIANTKH  EYB  UI L  DI N  G,
1/12/2017,RT,"COPPER, FREE",1022,164728.04,N,0.32MG/L,LC001,DS001,KTHITOCMHAESN  BSUINILKD  I NG,
1/12/2017,RT,"COPPER, FREE",1022,164728.05,N,0.64MG/L,LC001,DS001,IKNITFCIRHMEANR SYI NAKTH  UB  BA  RD,
1/12/2017,RT,"COPPER, FREE",1022,164728.06,N,0.64MG/L,LC001,DS001,TCUORTRTAEGLLE  CKOITTCTHAEGNE  SINK,
1/12/2017,RT,"COPPER, FREE",1022,164728.07,N,0.38MG/L,LC001,DS001,MKIOTCRHREISNO SNI NCKO TT  A  GE,
1/12/2017,RT,"COPPER, FREE",1022,164728.08,N,0.63MG/L,LC001,DS001,KBIUTTCLHEERN C SOINTTKAG  EK  I T  CH,E  N
1/12/2017,RT,"COPPER, FREE",1022,164728.09,N,0.62MG/L,LC001,DS001,MSIANYKOS  CH  OOLB  UI L  D  I NG,
1/12/2017,RT,"COPPER, FREE",1022,164728.1,N,0.62MG/L,LC001,DS001,WDEAERPN SEIRN KC OT  T  A  GE,
1/12/2017,RT,LEAD,1030,164728.01,Y,,LC001,DS001,PKAITRCEHNETN C SOINTKT A  GE,
1/12/2017,RT,LEAD,1030,164728.02,N,0.003MG/L,LC001,DS001,WKIHTCEHEELENR S GINYKMKI T  C  HE  N,
1/12/2017,RT,LEAD,1030,164728.03,N,0.003MG/L,LC001,DS001,MSIANTKH  EYB  UI L  DI N  G,
1/12/2017,RT,LEAD,1030,164728.04,N,0.003MG/L,LC001,DS001,TKHITOCMHAESN  BSUINILKD  I NG,
